Parameter Sets,Stats,Variance Ratio,SVM Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,Random Classifier Accuracy
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.811082089552238), 'Normal Variance': np.float64(1001.877481664903), 'Normal Steady State Time': 10.0}",0.12,0.8375,0.7125,0.6,0.475
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2211.5162492806476), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.251492537313433), 'Stressed Variance': np.float64(150.59496045889952), 'Stressed Steady State Time': 10.0}",0.12,0.8,0.7625,0.5875,0.55
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.995074626865672), 'Normal Variance': np.float64(1073.7818414123412), 'Normal Steady State Time': 10.0}",0.12,0.8,0.7625,0.5875,0.55
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2211.5162492806476), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.1392537313432836), 'Stressed Variance': np.float64(118.93090690576965), 'Stressed Steady State Time': 10.0}",0.12,0.8375,0.7,0.725,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.052238805970149), 'Normal Variance': np.float64(1238.0934651370014), 'Normal Steady State Time': 10.0}",0.12,0.8375,0.7,0.725,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2211.5162492806476), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.0942910447761194), 'Stressed Variance': np.float64(109.3608480048452), 'Stressed Steady State Time': 10.0}",0.12,0.825,0.6375,0.625,0.45
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.78910447761194), 'Normal Variance': np.float64(1111.6484335263979), 'Normal Steady State Time': 10.0}",0.12,0.825,0.6375,0.625,0.45
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2211.5162492806476), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.2521641791044775), 'Stressed Variance': np.float64(153.39753262976163), 'Stressed Steady State Time': 10.0}",0.12,0.875,0.75,0.6,0.4375
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.688320895522388), 'Normal Variance': np.float64(960.8384158373246), 'Normal Steady State Time': 10.0}",0.12,0.875,0.75,0.6,0.4375
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2211.5162492806476), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.3165671641791046), 'Stressed Variance': np.float64(163.94374045444422), 'Stressed Steady State Time': 10.0}",0.12,0.725,0.675,0.6375,0.475
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.028470149253732), 'Normal Variance': np.float64(1075.2395998983627), 'Normal Steady State Time': 10.0}",0.12,0.725,0.675,0.6375,0.475
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2302.2057947810285), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.4182462686567163), 'Stressed Variance': np.float64(175.9345849841279), 'Stressed Steady State Time': 10.0}",0.13,0.7125,0.6375,0.5375,0.4625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.230597014925373), 'Normal Variance': np.float64(1299.195332479394), 'Normal Steady State Time': 10.0}",0.13,0.7125,0.6375,0.5375,0.4625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2302.2057947810285), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.1998880597014925), 'Stressed Variance': np.float64(132.0480671516485), 'Stressed Steady State Time': 10.0}",0.13,0.775,0.65,0.575,0.475
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.835223880597015), 'Normal Variance': np.float64(1146.6482219648026), 'Normal Steady State Time': 10.0}",0.13,0.775,0.65,0.575,0.475
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2302.2057947810285), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.146007462686567), 'Stressed Variance': np.float64(126.59274898501897), 'Stressed Steady State Time': 10.0}",0.13,0.775,0.675,0.65,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.8504104477611945), 'Normal Variance': np.float64(990.600346846458), 'Normal Steady State Time': 10.0}",0.13,0.775,0.675,0.65,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2302.2057947810285), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.4402985074626866), 'Stressed Variance': np.float64(167.60419692581868), 'Stressed Steady State Time': 10.0}",0.13,0.775,0.5875,0.5125,0.525
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.069776119402985), 'Normal Variance': np.float64(1102.700429800624), 'Normal Steady State Time': 10.0}",0.13,0.775,0.5875,0.5125,0.525
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2302.2057947810285), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.3957462686567164), 'Stressed Variance': np.float64(179.13413115950104), 'Stressed Steady State Time': 10.0}",0.13,0.75,0.6375,0.4875,0.575
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.026753731343284), 'Normal Variance': np.float64(1212.6413364766652), 'Normal Steady State Time': 10.0}",0.13,0.75,0.6375,0.4875,0.575
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2302.2057947810285), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.261455223880597), 'Stressed Variance': np.float64(138.4524247479951), 'Stressed Steady State Time': 10.0}",0.13,0.7875,0.7375,0.5875,0.55
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.7968283582089555), 'Normal Variance': np.float64(1116.4345794929275), 'Normal Steady State Time': 10.0}",0.13,0.7875,0.7375,0.5875,0.55
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2302.2057947810285), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.210223880597015), 'Stressed Variance': np.float64(140.05722383047447), 'Stressed Steady State Time': 10.0}",0.13,0.875,0.775,0.6,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.729216417910448), 'Normal Variance': np.float64(964.860967296447), 'Normal Steady State Time': 10.0}",0.13,0.875,0.775,0.6,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2302.2057947810285), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.545858208955224), 'Stressed Variance': np.float64(184.62521045750722), 'Stressed Steady State Time': 10.0}",0.13,0.7,0.6625,0.55,0.5375
