Parameter Sets,Stats,Variance Ratio,SVM Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,Random Classifier Accuracy
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.071119402985075), 'Normal Variance': np.float64(1208.792031582758), 'Normal Steady State Time': 10.0}",2.329999999999999,0.7125,0.7375,0.55,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9777.212965470302), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.80929104477612), 'Stressed Variance': np.float64(2012.752995766039), 'Stressed Steady State Time': 10.0}",2.329999999999999,0.6,0.65,0.575,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.155), 'Normal Variance': np.float64(1137.0971690298509), 'Normal Steady State Time': 10.0}",2.329999999999999,0.6,0.65,0.575,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9777.212965470302), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.4399253731343284), 'Stressed Variance': np.float64(2729.1669880541326), 'Stressed Steady State Time': 10.0}",2.329999999999999,0.6375,0.575,0.625,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.218171641791045), 'Normal Variance': np.float64(1172.2004981496436), 'Normal Steady State Time': 10.0}",2.329999999999999,0.6375,0.575,0.625,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9777.212965470302), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.675037313432836), 'Stressed Variance': np.float64(2349.507869401593), 'Stressed Steady State Time': 10.0}",2.329999999999999,0.625,0.6125,0.5625,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.24723880597015), 'Normal Variance': np.float64(1317.0018580474493), 'Normal Steady State Time': 10.0}",2.329999999999999,0.625,0.6125,0.5625,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9777.212965470302), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.699216417910447), 'Stressed Variance': np.float64(3288.116059087491), 'Stressed Steady State Time': 10.0}",2.329999999999999,0.6625,0.575,0.6,0.4375
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.051902985074626), 'Normal Variance': np.float64(1150.5701792144687), 'Normal Steady State Time': 10.0}",2.329999999999999,0.6625,0.575,0.6,0.4375
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9777.212965470302), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.8975), 'Stressed Variance': np.float64(2073.1816206156714), 'Stressed Steady State Time': 10.0}",2.329999999999999,0.7,0.7375,0.625,0.5375
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.224514925373135), 'Normal Variance': np.float64(1163.040152749777), 'Normal Steady State Time': 10.0}",2.329999999999999,0.7,0.7375,0.625,0.5375
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9777.212965470302), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.280261194029851), 'Stressed Variance': np.float64(2642.477610379539), 'Stressed Steady State Time': 10.0}",2.329999999999999,0.5625,0.725,0.625,0.4625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.176865671641791), 'Normal Variance': np.float64(1174.4412558476279), 'Normal Steady State Time': 10.0}",2.329999999999999,0.5625,0.725,0.625,0.4625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9777.212965470302), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.662537313432836), 'Stressed Variance': np.float64(2547.5272383381593), 'Stressed Steady State Time': 10.0}",2.329999999999999,0.7,0.7375,0.525,0.6125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.2341044776119405), 'Normal Variance': np.float64(1323.8766130040096), 'Normal Steady State Time': 10.0}",2.329999999999999,0.7,0.7375,0.525,0.6125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9777.212965470302), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(6.033022388059702), 'Stressed Variance': np.float64(3486.062827432334), 'Stressed Steady State Time': 10.0}",2.329999999999999,0.775,0.5625,0.575,0.475
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.141007462686567), 'Normal Variance': np.float64(1172.1690348059142), 'Normal Steady State Time': 10.0}",2.329999999999999,0.775,0.5625,0.575,0.475
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9798.19201208344), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.28070895522388), 'Stressed Variance': np.float64(2493.7034039749947), 'Stressed Steady State Time': 10.0}",2.339999999999999,0.575,0.7,0.65,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.142350746268657), 'Normal Variance': np.float64(1121.2417885038428), 'Normal Steady State Time': 10.0}",2.339999999999999,0.575,0.7,0.65,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9798.19201208344), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.8275), 'Stressed Variance': np.float64(2531.5475944962686), 'Stressed Steady State Time': 10.0}",2.339999999999999,0.575,0.675,0.575,0.575
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.20294776119403), 'Normal Variance': np.float64(1172.645715191301), 'Normal Steady State Time': 10.0}",2.339999999999999,0.575,0.675,0.575,0.575
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9798.19201208344), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.457910447761194), 'Stressed Variance': np.float64(2962.1141239919807), 'Stressed Steady State Time': 10.0}",2.339999999999999,0.6625,0.65,0.55,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.387686567164179), 'Normal Variance': np.float64(1358.344773752506), 'Normal Steady State Time': 10.0}",2.339999999999999,0.6625,0.65,0.55,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9798.19201208344), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.900820895522388), 'Stressed Variance': np.float64(3275.587700818668), 'Stressed Steady State Time': 10.0}",2.339999999999999,0.55,0.6375,0.5,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.977462686567164), 'Normal Variance': np.float64(1171.2582980396526), 'Normal Steady State Time': 10.0}",2.339999999999999,0.55,0.6375,0.5,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9798.19201208344), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.345037313432836), 'Stressed Variance': np.float64(2531.0153895508465), 'Stressed Steady State Time': 10.0}",2.339999999999999,0.55,0.5625,0.5875,0.5375
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.014888059701493), 'Normal Variance': np.float64(1092.9187708829918), 'Normal Steady State Time': 10.0}",2.339999999999999,0.55,0.5625,0.5875,0.5375
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9798.19201208344), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.371417910447761), 'Stressed Variance': np.float64(2968.375033810425), 'Stressed Steady State Time': 10.0}",2.339999999999999,0.6,0.6,0.5,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.254664179104478), 'Normal Variance': np.float64(1183.3202580961797), 'Normal Steady State Time': 10.0}",2.339999999999999,0.6,0.6,0.5,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9798.19201208344), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.353320895522388), 'Stressed Variance': np.float64(2776.199156882101), 'Stressed Steady State Time': 10.0}",2.339999999999999,0.6625,0.5875,0.5,0.5375
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.430037313432836), 'Normal Variance': np.float64(1386.9404037299505), 'Normal Steady State Time': 10.0}",2.339999999999999,0.6625,0.5875,0.5,0.5375
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9798.19201208344), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(6.1807835820895525), 'Stressed Variance': np.float64(3550.613996400925), 'Stressed Steady State Time': 10.0}",2.339999999999999,0.625,0.625,0.5,0.475
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.0871641791044775), 'Normal Variance': np.float64(1173.0165815103587), 'Normal Steady State Time': 10.0}",2.339999999999999,0.625,0.625,0.5,0.475
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9798.19201208344), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.169962686567164), 'Stressed Variance': np.float64(2494.721523132936), 'Stressed Steady State Time': 10.0}",2.339999999999999,0.6,0.6,0.55,0.625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.1450373134328355), 'Normal Variance': np.float64(1131.6068373120406), 'Normal Steady State Time': 10.0}",2.339999999999999,0.6,0.6,0.55,0.625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9798.19201208344), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.463320895522388), 'Stressed Variance': np.float64(2978.0460427029952), 'Stressed Steady State Time': 10.0}",2.339999999999999,0.5625,0.65,0.6125,0.4625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.19660447761194), 'Normal Variance': np.float64(1179.4366825002787), 'Normal Steady State Time': 10.0}",2.339999999999999,0.5625,0.65,0.6125,0.4625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9819.126279403794), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.943320895522388), 'Stressed Variance': np.float64(2156.9160038970263), 'Stressed Steady State Time': 10.0}",2.3499999999999988,0.6,0.625,0.525,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.24589552238806), 'Normal Variance': np.float64(1342.47572942192), 'Normal Steady State Time': 10.0}",2.3499999999999988,0.6,0.625,0.525,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9819.126279403794), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.422723880597015), 'Stressed Variance': np.float64(2903.053953774505), 'Stressed Steady State Time': 10.0}",2.3499999999999988,0.5875,0.6375,0.5625,0.575
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.038768656716418), 'Normal Variance': np.float64(1149.5436835584205), 'Normal Steady State Time': 10.0}",2.3499999999999988,0.5875,0.6375,0.5625,0.575
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9819.126279403794), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.269365671641791), 'Stressed Variance': np.float64(2365.4425540752395), 'Stressed Steady State Time': 10.0}",2.3499999999999988,0.5875,0.65,0.5875,0.45
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.062537313432836), 'Normal Variance': np.float64(1099.739671173981), 'Normal Steady State Time': 10.0}",2.3499999999999988,0.5875,0.65,0.5875,0.45
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9819.126279403794), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.102798507462687), 'Stressed Variance': np.float64(2385.523499631043), 'Stressed Steady State Time': 10.0}",2.3499999999999988,0.6875,0.6875,0.6375,0.5625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.204626865671642), 'Normal Variance': np.float64(1173.543724860771), 'Normal Steady State Time': 10.0}",2.3499999999999988,0.6875,0.6875,0.6375,0.5625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9819.126279403794), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.999253731343283), 'Stressed Variance': np.float64(2228.5858949654707), 'Stressed Steady State Time': 10.0}",2.3499999999999988,0.6875,0.55,0.575,0.525
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.316305970149254), 'Normal Variance': np.float64(1352.4696893392183), 'Normal Steady State Time': 10.0}",2.3499999999999988,0.6875,0.55,0.575,0.525
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9819.126279403794), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.203283582089552), 'Stressed Variance': np.float64(2647.176213098686), 'Stressed Steady State Time': 10.0}",2.3499999999999988,0.6125,0.6625,0.575,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.083358208955224), 'Normal Variance': np.float64(1172.532976782134), 'Normal Steady State Time': 10.0}",2.3499999999999988,0.6125,0.6625,0.575,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9819.126279403794), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.203432835820895), 'Stressed Variance': np.float64(2403.2807046335483), 'Stressed Steady State Time': 10.0}",2.3499999999999988,0.6,0.6625,0.6,0.475
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.112910447761194), 'Normal Variance': np.float64(1131.5836691412344), 'Normal Steady State Time': 10.0}",2.3499999999999988,0.6,0.6625,0.6,0.475
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9819.126279403794), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.509216417910448), 'Stressed Variance': np.float64(2732.621929983014), 'Stressed Steady State Time': 10.0}",2.3499999999999988,0.6625,0.6375,0.6,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.214776119402985), 'Normal Variance': np.float64(1175.734095099131), 'Normal Steady State Time': 10.0}",2.3499999999999988,0.6625,0.6375,0.6,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9819.126279403794), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.237835820895523), 'Stressed Variance': np.float64(2440.485225167075), 'Stressed Steady State Time': 10.0}",2.3499999999999988,0.6125,0.6,0.55,0.45
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.257014925373134), 'Normal Variance': np.float64(1332.492749298285), 'Normal Steady State Time': 10.0}",2.3499999999999988,0.6125,0.6,0.55,0.45
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9819.126279403794), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.30410447761194), 'Stressed Variance': np.float64(2807.9854309144575), 'Stressed Steady State Time': 10.0}",2.3499999999999988,0.6375,0.6375,0.575,0.625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.072574626865672), 'Normal Variance': np.float64(1195.8696956101026), 'Normal Steady State Time': 10.0}",2.3499999999999988,0.6375,0.6375,0.575,0.625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9840.016052954237), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.7569029850746265), 'Stressed Variance': np.float64(2838.6792247368567), 'Stressed Steady State Time': 10.0}",2.359999999999999,0.6,0.6,0.4625,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.075634328358209), 'Normal Variance': np.float64(1126.3720779558366), 'Normal Steady State Time': 10.0}",2.359999999999999,0.6,0.6,0.4625,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9840.016052954237), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.821119402985075), 'Stressed Variance': np.float64(3049.0484494932057), 'Stressed Steady State Time': 10.0}",2.359999999999999,0.65,0.6625,0.6125,0.35
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.175261194029851), 'Normal Variance': np.float64(1172.2608133646133), 'Normal Steady State Time': 10.0}",2.359999999999999,0.65,0.6625,0.6125,0.35
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9840.016052954237), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(6.293731343283582), 'Stressed Variance': np.float64(3568.7631995099136), 'Stressed Steady State Time': 10.0}",2.359999999999999,0.675,0.7,0.5125,0.5625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.361679104477612), 'Normal Variance': np.float64(1354.6080315089662), 'Normal Steady State Time': 10.0}",2.359999999999999,0.675,0.7,0.5125,0.5625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9840.016052954237), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(6.01544776119403), 'Stressed Variance': np.float64(3523.635955396525), 'Stressed Steady State Time': 10.0}",2.359999999999999,0.675,0.6875,0.65,0.55
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.1449626865671645), 'Normal Variance': np.float64(1170.6995455209956), 'Normal Steady State Time': 10.0}",2.359999999999999,0.675,0.6875,0.65,0.55
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9840.016052954237), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.119514925373134), 'Stressed Variance': np.float64(2493.17120125724), 'Stressed Steady State Time': 10.0}",2.359999999999999,0.5625,0.65,0.55,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.092089552238806), 'Normal Variance': np.float64(1124.7445045889954), 'Normal Steady State Time': 10.0}",2.359999999999999,0.5625,0.65,0.55,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9840.016052954237), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.660970149253731), 'Stressed Variance': np.float64(2959.655581148362), 'Stressed Steady State Time': 10.0}",2.359999999999999,0.6625,0.6625,0.625,0.5875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.2656343283582085), 'Normal Variance': np.float64(1241.5290279558365), 'Normal Steady State Time': 10.0}",2.359999999999999,0.6625,0.6625,0.625,0.5875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9840.016052954237), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(6.2702985074626865), 'Stressed Variance': np.float64(3432.204102895967), 'Stressed Steady State Time': 10.0}",2.359999999999999,0.65,0.625,0.525,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.227164179104477), 'Normal Variance': np.float64(1312.7372024058811), 'Normal Steady State Time': 10.0}",2.359999999999999,0.65,0.625,0.525,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9840.016052954237), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.393582089552239), 'Stressed Variance': np.float64(2852.084048362664), 'Stressed Steady State Time': 10.0}",2.359999999999999,0.6625,0.7,0.6625,0.6125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.0420522388059705), 'Normal Variance': np.float64(1182.557149519659), 'Normal Steady State Time': 10.0}",2.359999999999999,0.6625,0.7,0.6625,0.6125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9840.016052954237), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.705335820895522), 'Stressed Variance': np.float64(2780.8755237678215), 'Stressed Steady State Time': 10.0}",2.359999999999999,0.6875,0.6625,0.5625,0.5625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.1763059701492535), 'Normal Variance': np.float64(1131.7241773989197), 'Normal Steady State Time': 10.0}",2.359999999999999,0.6875,0.6625,0.5625,0.5625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9840.016052954237), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.861641791044776), 'Stressed Variance': np.float64(3048.8645137224325), 'Stressed Steady State Time': 10.0}",2.359999999999999,0.5875,0.55,0.5875,0.625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.230858208955224), 'Normal Variance': np.float64(1177.9486074724327), 'Normal Steady State Time': 10.0}",2.359999999999999,0.5875,0.55,0.5875,0.625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9860.861615236225), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.71089552238806), 'Stressed Variance': np.float64(2970.043433526398), 'Stressed Steady State Time': 10.0}",2.3699999999999988,0.525,0.6875,0.525,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.378246268656716), 'Normal Variance': np.float64(1368.441370058755), 'Normal Steady State Time': 10.0}",2.3699999999999988,0.525,0.6875,0.525,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9860.861615236225), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.880186567164179), 'Stressed Variance': np.float64(3165.277622353253), 'Stressed Steady State Time': 10.0}",2.3699999999999988,0.65,0.725,0.5625,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.1363059701492535), 'Normal Variance': np.float64(1183.709069936233), 'Normal Steady State Time': 10.0}",2.3699999999999988,0.65,0.725,0.5625,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9860.861615236225), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.85839552238806), 'Stressed Variance': np.float64(2354.4138660823683), 'Stressed Steady State Time': 10.0}",2.3699999999999988,0.725,0.7125,0.675,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.096977611940298), 'Normal Variance': np.float64(1121.17727444726), 'Normal Steady State Time': 10.0}",2.3699999999999988,0.725,0.7125,0.675,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9860.861615236225), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.682276119402985), 'Stressed Variance': np.float64(3087.5131186998774), 'Stressed Steady State Time': 10.0}",2.3699999999999988,0.55,0.675,0.6125,0.525
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.298246268656716), 'Normal Variance': np.float64(1235.289817819949), 'Normal Steady State Time': 10.0}",2.3699999999999988,0.55,0.675,0.6125,0.525
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9860.861615236225), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.805298507462687), 'Stressed Variance': np.float64(3253.0684346123853), 'Stressed Steady State Time': 10.0}",2.3699999999999988,0.5875,0.6375,0.4875,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.234216417910448), 'Normal Variance': np.float64(1333.760851624805), 'Normal Steady State Time': 10.0}",2.3699999999999988,0.5875,0.6375,0.4875,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9860.861615236225), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(6.102537313432836), 'Stressed Variance': np.float64(3311.534262218757), 'Stressed Steady State Time': 10.0}",2.3699999999999988,0.675,0.6875,0.6,0.5875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.0648880597014925), 'Normal Variance': np.float64(1194.1078417785143), 'Normal Steady State Time': 10.0}",2.3699999999999988,0.675,0.6875,0.6,0.5875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9860.861615236225), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.946679104477612), 'Stressed Variance': np.float64(2386.9485374791157), 'Stressed Steady State Time': 10.0}",2.3699999999999988,0.7125,0.6375,0.6125,0.4125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.07294776119403), 'Normal Variance': np.float64(1118.6182980271221), 'Normal Steady State Time': 10.0}",2.3699999999999988,0.7125,0.6375,0.6125,0.4125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(9860.861615236225), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(6.2032089552238805), 'Stressed Variance': np.float64(3493.7526613443974), 'Stressed Steady State Time': 10.0}",2.3699999999999988,0.55,0.6125,0.6125,0.55
