Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,LSTM Accuracy,LSTM Conv1D Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.2610194138487529, 'rho': 512.5577379405526, 'd': 0.7326399325737105, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.885966386554621, 'Stressed Variance': 275.29481146105496, 'Stressed Steady State Time': 13.649269655382735}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.22999999999999995,0.9625,0.55,0.95,0.5625,0.75,0.45,0.9875,0.85
"[{'sigma_u': 18.0, 'sigma_b': 0.2610194138487529, 'rho': 512.5577379405526, 'd': 0.7326399325737105, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.885966386554621, 'Stressed Variance': 275.29481146105496, 'Stressed Steady State Time': 13.649269655382735}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.22999999999999995,0.9625,0.55,0.95,0.5625,0.75,0.45,0.9875,0.85
"[{'sigma_u': 18.0, 'sigma_b': 0.24992789369767446, 'rho': 535.0451939350131, 'd': 0.7327301189041558, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.80126050420168, 'Stressed Variance': 286.8747883270956, 'Stressed Steady State Time': 13.647589667742377}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.23999999999999994,0.975,0.625,0.95,0.6375,0.8,0.45,1.0,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 0.24992789369767446, 'rho': 535.0451939350131, 'd': 0.7327301189041558, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.890420168067227, 'Stressed Variance': 285.9726141091731, 'Stressed Steady State Time': 13.647589667742377}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.23999999999999994,0.95,0.525,0.9,0.4625,0.75,0.45,0.9875,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 0.24992789369767446, 'rho': 535.0451939350131, 'd': 0.7327301189041558, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.890420168067227, 'Stressed Variance': 285.9726141091731, 'Stressed Steady State Time': 13.647589667742377}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.23999999999999994,0.95,0.525,0.9,0.4625,0.75,0.45,0.9875,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 0.24992789369767446, 'rho': 535.0451939350131, 'd': 0.7327301189041558, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.890420168067227, 'Stressed Variance': 285.9726141091731, 'Stressed Steady State Time': 13.647589667742377}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.23999999999999994,0.95,0.525,0.9,0.4625,0.75,0.45,0.9875,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 0.24992789369767446, 'rho': 535.0451939350131, 'd': 0.7327301189041558, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.890420168067227, 'Stressed Variance': 285.9726141091731, 'Stressed Steady State Time': 13.647589667742377}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.23999999999999994,0.95,0.525,0.9,0.4625,0.75,0.45,0.9875,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 0.24992789369767446, 'rho': 535.0451939350131, 'd': 0.7327301189041558, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.890420168067227, 'Stressed Variance': 285.9726141091731, 'Stressed Steady State Time': 13.647589667742377}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.23999999999999994,0.95,0.525,0.9,0.4625,0.75,0.45,0.9875,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 0.24992789369767446, 'rho': 535.0451939350131, 'd': 0.7327301189041558, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.890420168067227, 'Stressed Variance': 285.9726141091731, 'Stressed Steady State Time': 13.647589667742377}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.23999999999999994,0.95,0.525,0.9,0.4625,0.75,0.45,0.9875,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 0.24992789369767446, 'rho': 535.0451939350131, 'd': 0.7327301189041558, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.890420168067227, 'Stressed Variance': 285.9726141091731, 'Stressed Steady State Time': 13.647589667742377}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.23999999999999994,0.95,0.525,0.9,0.4625,0.75,0.45,0.9875,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 0.24992789369767446, 'rho': 535.0451939350131, 'd': 0.7327301189041558, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.890420168067227, 'Stressed Variance': 285.9726141091731, 'Stressed Steady State Time': 13.647589667742377}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.23999999999999994,0.95,0.525,0.9,0.4625,0.75,0.45,0.9875,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 0.24992789369767446, 'rho': 535.0451939350131, 'd': 0.7327301189041558, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.890420168067227, 'Stressed Variance': 285.9726141091731, 'Stressed Steady State Time': 13.647589667742377}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.23999999999999994,0.95,0.525,0.9,0.4625,0.75,0.45,0.9875,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 0.23974081229021155, 'rho': 557.5321969399613, 'd': 0.7328131641422706, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.708193277310924, 'Stressed Variance': 278.221277408022, 'Stressed Steady State Time': 13.646043069797487}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.24999999999999992,0.95,0.6125,0.9375,0.6625,0.8375,0.45,0.9875,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 0.23974081229021155, 'rho': 557.5321969399613, 'd': 0.7328131641422706, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.848487394957983, 'Stressed Variance': 289.6372960313537, 'Stressed Steady State Time': 13.646043069797487}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.24999999999999992,0.975,0.5125,0.9625,0.525,0.6875,0.45,0.9875,0.975
"[{'sigma_u': 18.0, 'sigma_b': 0.23974081229021155, 'rho': 557.5321969399613, 'd': 0.7328131641422706, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.848487394957983, 'Stressed Variance': 289.6372960313537, 'Stressed Steady State Time': 13.646043069797487}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.24999999999999992,0.975,0.5125,0.9625,0.525,0.6875,0.45,0.9875,0.975
"[{'sigma_u': 18.0, 'sigma_b': 0.23974081229021155, 'rho': 557.5321969399613, 'd': 0.7328131641422706, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.848487394957983, 'Stressed Variance': 289.6372960313537, 'Stressed Steady State Time': 13.646043069797487}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.24999999999999992,0.975,0.5125,0.9625,0.525,0.6875,0.45,0.9875,0.975
"[{'sigma_u': 18.0, 'sigma_b': 0.23974081229021155, 'rho': 557.5321969399613, 'd': 0.7328131641422706, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.848487394957983, 'Stressed Variance': 289.6372960313537, 'Stressed Steady State Time': 13.646043069797487}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.24999999999999992,0.975,0.5125,0.9625,0.525,0.6875,0.45,0.9875,0.975
"[{'sigma_u': 18.0, 'sigma_b': 0.23974081229021155, 'rho': 557.5321969399613, 'd': 0.7328131641422706, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.848487394957983, 'Stressed Variance': 289.6372960313537, 'Stressed Steady State Time': 13.646043069797487}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.24999999999999992,0.975,0.5125,0.9625,0.525,0.6875,0.45,0.9875,0.975
"[{'sigma_u': 18.0, 'sigma_b': 0.23974081229021155, 'rho': 557.5321969399613, 'd': 0.7328131641422706, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.848487394957983, 'Stressed Variance': 289.6372960313537, 'Stressed Steady State Time': 13.646043069797487}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.24999999999999992,0.975,0.5125,0.9625,0.525,0.6875,0.45,0.9875,0.975
"[{'sigma_u': 18.0, 'sigma_b': 0.23974081229021155, 'rho': 557.5321969399613, 'd': 0.7328131641422706, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.848487394957983, 'Stressed Variance': 289.6372960313537, 'Stressed Steady State Time': 13.646043069797487}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.24999999999999992,0.975,0.5125,0.9625,0.525,0.6875,0.45,0.9875,0.975
"[{'sigma_u': 18.0, 'sigma_b': 0.23974081229021155, 'rho': 557.5321969399613, 'd': 0.7328131641422706, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.848487394957983, 'Stressed Variance': 289.6372960313537, 'Stressed Steady State Time': 13.646043069797487}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.24999999999999992,0.975,0.5125,0.9625,0.525,0.6875,0.45,0.9875,0.975
"[{'sigma_u': 18.0, 'sigma_b': 0.23974081229021155, 'rho': 557.5321969399613, 'd': 0.7328131641422706, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.848487394957983, 'Stressed Variance': 289.6372960313537, 'Stressed Steady State Time': 13.646043069797487}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.24999999999999992,0.975,0.5125,0.9625,0.525,0.6875,0.45,0.9875,0.975
"[{'sigma_u': 18.0, 'sigma_b': 0.23035185192341567, 'rho': 580.0187992696857, 'd': 0.7328898841196717, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.958865546218487, 'Stressed Variance': 301.7512911499894, 'Stressed Steady State Time': 13.644614582191622}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.2599999999999999,0.9,0.65,0.9625,0.6375,0.7375,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.23035185192341567, 'rho': 580.0187992696857, 'd': 0.7328898841196717, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.997268907563026, 'Stressed Variance': 303.57717741508367, 'Stressed Steady State Time': 13.644614582191622}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2599999999999999,0.95,0.5875,0.9375,0.55,0.6875,0.45,0.9875,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 0.23035185192341567, 'rho': 580.0187992696857, 'd': 0.7328898841196717, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.997268907563026, 'Stressed Variance': 303.57717741508367, 'Stressed Steady State Time': 13.644614582191622}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2599999999999999,0.95,0.5875,0.9375,0.55,0.6875,0.45,0.9875,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 0.23035185192341567, 'rho': 580.0187992696857, 'd': 0.7328898841196717, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.997268907563026, 'Stressed Variance': 303.57717741508367, 'Stressed Steady State Time': 13.644614582191622}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2599999999999999,0.95,0.5875,0.9375,0.55,0.6875,0.45,0.9875,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 0.23035185192341567, 'rho': 580.0187992696857, 'd': 0.7328898841196717, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.997268907563026, 'Stressed Variance': 303.57717741508367, 'Stressed Steady State Time': 13.644614582191622}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2599999999999999,0.95,0.5875,0.9375,0.55,0.6875,0.45,0.9875,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 0.23035185192341567, 'rho': 580.0187992696857, 'd': 0.7328898841196717, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.997268907563026, 'Stressed Variance': 303.57717741508367, 'Stressed Steady State Time': 13.644614582191622}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2599999999999999,0.95,0.5875,0.9375,0.55,0.6875,0.45,0.9875,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 0.23035185192341567, 'rho': 580.0187992696857, 'd': 0.7328898841196717, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.997268907563026, 'Stressed Variance': 303.57717741508367, 'Stressed Steady State Time': 13.644614582191622}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2599999999999999,0.95,0.5875,0.9375,0.55,0.6875,0.45,0.9875,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 0.23035185192341567, 'rho': 580.0187992696857, 'd': 0.7328898841196717, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.997268907563026, 'Stressed Variance': 303.57717741508367, 'Stressed Steady State Time': 13.644614582191622}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2599999999999999,0.95,0.5875,0.9375,0.55,0.6875,0.45,0.9875,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 0.23035185192341567, 'rho': 580.0187992696857, 'd': 0.7328898841196717, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.997268907563026, 'Stressed Variance': 303.57717741508367, 'Stressed Steady State Time': 13.644614582191622}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2599999999999999,0.95,0.5875,0.9375,0.55,0.6875,0.45,0.9875,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 0.23035185192341567, 'rho': 580.0187992696857, 'd': 0.7328898841196717, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.997268907563026, 'Stressed Variance': 303.57717741508367, 'Stressed Steady State Time': 13.644614582191622}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2599999999999999,0.95,0.5875,0.9375,0.55,0.6875,0.45,0.9875,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 0.22167073368575824, 'rho': 602.5050454006135, 'd': 0.7329609749592875, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.749285714285714, 'Stressed Variance': 306.0690331032413, 'Stressed Steady State Time': 13.64329117325169}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.2699999999999999,0.95,0.5625,0.9125,0.525,0.6875,0.45,1.0,0.8375
"[{'sigma_u': 18.0, 'sigma_b': 0.22167073368575824, 'rho': 602.5050454006135, 'd': 0.7329609749592875, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.798193277310924, 'Stressed Variance': 305.96763539121525, 'Stressed Steady State Time': 13.64329117325169}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2699999999999999,0.9125,0.5125,0.9375,0.45,0.65,0.45,0.975,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.22167073368575824, 'rho': 602.5050454006135, 'd': 0.7329609749592875, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.798193277310924, 'Stressed Variance': 305.96763539121525, 'Stressed Steady State Time': 13.64329117325169}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2699999999999999,0.9125,0.5125,0.9375,0.45,0.65,0.45,0.975,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.22167073368575824, 'rho': 602.5050454006135, 'd': 0.7329609749592875, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.798193277310924, 'Stressed Variance': 305.96763539121525, 'Stressed Steady State Time': 13.64329117325169}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2699999999999999,0.9125,0.5125,0.9375,0.45,0.65,0.45,0.975,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.22167073368575824, 'rho': 602.5050454006135, 'd': 0.7329609749592875, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.798193277310924, 'Stressed Variance': 305.96763539121525, 'Stressed Steady State Time': 13.64329117325169}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2699999999999999,0.9125,0.5125,0.9375,0.45,0.65,0.45,0.975,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.22167073368575824, 'rho': 602.5050454006135, 'd': 0.7329609749592875, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.798193277310924, 'Stressed Variance': 305.96763539121525, 'Stressed Steady State Time': 13.64329117325169}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2699999999999999,0.9125,0.5125,0.9375,0.45,0.65,0.45,0.975,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.22167073368575824, 'rho': 602.5050454006135, 'd': 0.7329609749592875, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.798193277310924, 'Stressed Variance': 305.96763539121525, 'Stressed Steady State Time': 13.64329117325169}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2699999999999999,0.9125,0.5125,0.9375,0.45,0.65,0.45,0.975,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.22167073368575824, 'rho': 602.5050454006135, 'd': 0.7329609749592875, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.798193277310924, 'Stressed Variance': 305.96763539121525, 'Stressed Steady State Time': 13.64329117325169}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2699999999999999,0.9125,0.5125,0.9375,0.45,0.65,0.45,0.975,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.22167073368575824, 'rho': 602.5050454006135, 'd': 0.7329609749592875, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.798193277310924, 'Stressed Variance': 305.96763539121525, 'Stressed Steady State Time': 13.64329117325169}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2699999999999999,0.9125,0.5125,0.9375,0.45,0.65,0.45,0.975,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.22167073368575824, 'rho': 602.5050454006135, 'd': 0.7329609749592875, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.798193277310924, 'Stressed Variance': 305.96763539121525, 'Stressed Steady State Time': 13.64329117325169}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2699999999999999,0.9125,0.5125,0.9375,0.45,0.65,0.45,0.975,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235665747, 'rho': 624.9909735162511, 'd': 0.733027034254289, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.53016806722689, 'Stressed Variance': 304.2693419885601, 'Stressed Steady State Time': 13.642061660349317}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.2799999999999999,0.9125,0.55,0.8875,0.4875,0.6375,0.45,0.9625,0.9125
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235665747, 'rho': 624.9909735162511, 'd': 0.733027034254289, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.570168067226891, 'Stressed Variance': 310.4832277028459, 'Stressed Steady State Time': 13.642061660349317}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2799999999999999,0.9,0.5,0.875,0.4875,0.6875,0.45,0.975,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235665747, 'rho': 624.9909735162511, 'd': 0.733027034254289, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.570168067226891, 'Stressed Variance': 310.4832277028459, 'Stressed Steady State Time': 13.642061660349317}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2799999999999999,0.9,0.5,0.875,0.4875,0.6875,0.45,0.975,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235665747, 'rho': 624.9909735162511, 'd': 0.733027034254289, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.570168067226891, 'Stressed Variance': 310.4832277028459, 'Stressed Steady State Time': 13.642061660349317}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2799999999999999,0.9,0.5,0.875,0.4875,0.6875,0.45,0.975,0.95
