class_name,label,split,tf,condition,x,y,representation,method
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-8.643046379089355,4.9261250495910645,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),22.631175994873047,1.4360100030899048,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,35.99556350708008,-0.8165836334228516,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,-4.344458103179932,-6.938451290130615,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),19.37550163269043,0.3801499009132385,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,12.683746337890625,1.8686429262161255,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,-7.014549255371094,-0.04533566161990166,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,15.802265167236328,3.080864429473877,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-37.21917724609375,1.6989043951034546,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,38.35586166381836,4.949936866760254,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-9.214799880981445,4.529953479766846,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,-8.937641143798828,-4.670576095581055,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),37.629642486572266,0.5632122755050659,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,26.438175201416016,1.7900118827819824,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),30.367586135864258,1.5907758474349976,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),26.013853073120117,8.3150053024292,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,2.2184178829193115,-7.800198554992676,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,3.9485278129577637,3.104790687561035,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-25.210790634155273,3.002088785171509,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,-18.29448890686035,5.370161533355713,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,-2.8309326171875,-12.678627014160156,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-23.99742889404297,-1.2911359071731567,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),30.46228790283203,2.8359463214874268,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),23.368688583374023,6.979800701141357,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-8.912546157836914,-6.891974449157715,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),-2.189898729324341,-2.7506978511810303,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),13.819062232971191,-0.41751188039779663,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,3.666966199874878,-1.5473496913909912,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-26.685041427612305,5.221975326538086,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),22.426603317260742,2.1505467891693115,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-32.60014343261719,2.944218873977661,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-28.271135330200195,-4.755422592163086,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,30.122421264648438,4.262415409088135,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,12.970714569091797,-0.08163198083639145,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,0.7200155258178711,-2.7026805877685547,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-30.878032684326172,0.7621590495109558,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),27.378238677978516,3.4497222900390625,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,-12.721288681030273,-7.35844087600708,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-34.70510482788086,2.931812047958374,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-20.43837547302246,-10.720146179199219,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-12.858663558959961,-4.3533430099487305,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-24.666423797607422,-1.2125107049942017,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),25.265644073486328,6.006189346313477,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,36.87052917480469,2.428898572921753,SimCLR IY017-inst b512 D16 154043,t-SNE
