Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5215.29368928752, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.98160447761194, 'Stressed Variance': 885.6611168286368, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.803358208955224, 'Normal Variance': 1200.0761081254177, 'Normal Steady State Time': 10.0})",0.6699999999999997,0.5875,0.5125,0.575,0.525,0.5625,0.6
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5254.55617842797, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.5548507462686567, 'Stressed Variance': 703.9963943807085, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.434067164179105, 'Normal Variance': 1376.541249876086, 'Normal Steady State Time': 10.0})",0.6799999999999997,0.6375,0.6125,0.6375,0.6125,0.5875,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5254.55617842797, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.0027985074626864, 'Stressed Variance': 873.1626414220873, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.85839552238806, 'Normal Variance': 1189.7034929480399, 'Normal Steady State Time': 10.0})",0.6799999999999997,0.55,0.4875,0.5,0.5,0.4,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5254.55617842797, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.667238805970149, 'Stressed Variance': 755.7409117787927, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.607238805970149, 'Normal Variance': 1435.2676043161057, 'Normal Steady State Time': 10.0})",0.6799999999999997,0.625,0.55,0.525,0.6,0.6,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5254.55617842797, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.87205223880597, 'Stressed Variance': 834.4316517584653, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.744216417910447, 'Normal Variance': 1183.702671774059, 'Normal Steady State Time': 10.0})",0.6799999999999997,0.5875,0.475,0.6,0.4875,0.4125,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5254.55617842797, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.6063059701492537, 'Stressed Variance': 719.6639229213079, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.431380597014925, 'Normal Variance': 1375.1143958551459, 'Normal Steady State Time': 10.0})",0.6799999999999997,0.6375,0.5625,0.6,0.55,0.625,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5254.55617842797, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.9941417910447763, 'Stressed Variance': 883.2664209052683, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.795037313432836, 'Normal Variance': 1168.9393708941302, 'Normal Steady State Time': 10.0})",0.6799999999999997,0.5125,0.5625,0.575,0.5375,0.5375,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5254.55617842797, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.6774626865671642, 'Stressed Variance': 760.1725368456225, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.433582089552239, 'Normal Variance': 1375.5584244820673, 'Normal Steady State Time': 10.0})",0.6799999999999997,0.6,0.5375,0.7,0.6125,0.625,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5254.55617842797, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.8716791044776118, 'Stressed Variance': 838.3901382253844, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.980895522388059, 'Normal Variance': 1206.2433663622187, 'Normal Steady State Time': 10.0})",0.6799999999999997,0.5375,0.5125,0.525,0.425,0.4875,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5254.55617842797, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.5630597014925374, 'Stressed Variance': 704.9735607874804, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.429141791044776, 'Normal Variance': 1374.9259492634774, 'Normal Steady State Time': 10.0})",0.6799999999999997,0.7125,0.6625,0.6625,0.6125,0.675,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5254.55617842797, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.0274626865671643, 'Stressed Variance': 869.6311114724882, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.813694029850747, 'Normal Variance': 1175.4660736675764, 'Normal Steady State Time': 10.0})",0.6799999999999997,0.4875,0.4625,0.5375,0.4875,0.4625,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5293.52746275949, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.9394776119402986, 'Stressed Variance': 904.9743967420363, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.411044776119403, 'Normal Variance': 1371.4888780129206, 'Normal Steady State Time': 10.0})",0.6899999999999997,0.65,0.6,0.6875,0.575,0.575,0.4625
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5293.52746275949, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.1388805970149254, 'Stressed Variance': 958.7557868066385, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.782910447761194, 'Normal Variance': 1164.8947377979505, 'Normal Steady State Time': 10.0})",0.6899999999999997,0.525,0.55,0.525,0.5125,0.5125,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5293.52746275949, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.9394776119402986, 'Stressed Variance': 912.6796952494989, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.395858208955224, 'Normal Variance': 1365.5315425470594, 'Normal Steady State Time': 10.0})",0.6899999999999997,0.6875,0.6375,0.7,0.5875,0.55,0.3875
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5293.52746275949, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.956791044776119, 'Stressed Variance': 880.5595508966361, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.789328358208955, 'Normal Variance': 1166.7150204444197, 'Normal Steady State Time': 10.0})",0.6899999999999997,0.55,0.65,0.475,0.575,0.5625,0.4
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5293.52746275949, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.0642537313432836, 'Stressed Variance': 932.388931159501, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.603544776119403, 'Normal Variance': 1435.0302486285923, 'Normal Steady State Time': 10.0})",0.6899999999999997,0.65,0.7125,0.6625,0.6875,0.6625,0.55
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5293.52746275949, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.0141417910447763, 'Stressed Variance': 925.565732845567, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.7675, 'Normal Variance': 1162.3912795708954, 'Normal Steady State Time': 10.0})",0.6899999999999997,0.5625,0.6625,0.625,0.6125,0.65,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5293.52746275949, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.9394776119402986, 'Stressed Variance': 912.6796952494988, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.407649253731344, 'Normal Variance': 1367.2657250710072, 'Normal Steady State Time': 10.0})",0.6899999999999997,0.6,0.575,0.6,0.65,0.6375,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5293.52746275949, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.967089552238806, 'Stressed Variance': 892.2166034695924, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.857276119402985, 'Normal Variance': 1189.6451895953999, 'Normal Steady State Time': 10.0})",0.6899999999999997,0.6,0.5625,0.5875,0.6,0.5875,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5293.52746275949, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.0196268656716416, 'Stressed Variance': 921.1021520995768, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.523022388059702, 'Normal Variance': 1419.6697684771107, 'Normal Steady State Time': 10.0})",0.6899999999999997,0.55,0.575,0.575,0.6,0.6125,0.4375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5293.52746275949, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.911007462686567, 'Stressed Variance': 870.0260728656159, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.777835820895523, 'Normal Variance': 1166.4371356148363, 'Normal Steady State Time': 10.0})",0.6899999999999997,0.5375,0.5625,0.65,0.525,0.5875,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5332.21392722781, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.183955223880597, 'Stressed Variance': 870.836608236801, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.311380597014925, 'Normal Variance': 1330.755616750668, 'Normal Steady State Time': 10.0})",0.6999999999999996,0.5,0.5375,0.5125,0.5375,0.5125,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5332.21392722781, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.029626865671642, 'Stressed Variance': 890.5552416518155, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.785708955223881, 'Normal Variance': 1193.342848004845, 'Normal Steady State Time': 10.0})",0.6999999999999996,0.6125,0.6,0.6375,0.675,0.6375,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5332.21392722781, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.0320522388059703, 'Stressed Variance': 828.1256517584651, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.6007089552238805, 'Normal Variance': 1435.1223950197707, 'Normal Steady State Time': 10.0})",0.6999999999999996,0.6,0.6,0.6125,0.575,0.5375,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5332.21392722781, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.2213805970149254, 'Stressed Variance': 957.6408040641012, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.768022388059702, 'Normal Variance': 1167.0813729547226, 'Normal Steady State Time': 10.0})",0.6999999999999996,0.5,0.55,0.4875,0.575,0.475,0.4375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5332.21392722781, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.9240298507462685, 'Stressed Variance': 772.788631521497, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.3949253731343285, 'Normal Variance': 1365.6984369347292, 'Normal Steady State Time': 10.0})",0.6999999999999996,0.5875,0.6375,0.5875,0.5625,0.55,0.4
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5332.21392722781, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.2767910447761195, 'Stressed Variance': 947.2462971652928, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.851194029850746, 'Normal Variance': 1180.727856783248, 'Normal Steady State Time': 10.0})",0.6999999999999996,0.5375,0.5125,0.6,0.525,0.475,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5332.21392722781, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.1063059701492537, 'Stressed Variance': 866.6965721750389, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.504402985074627, 'Normal Variance': 1415.6702044943193, 'Normal Steady State Time': 10.0})",0.6999999999999996,0.5625,0.65,0.6,0.6,0.575,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5332.21392722781, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.242723880597015, 'Stressed Variance': 940.606495565549, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.739328358208955, 'Normal Variance': 1176.6483189518824, 'Normal Steady State Time': 10.0})",0.6999999999999996,0.5625,0.55,0.625,0.55,0.5,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5332.21392722781, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.009216417910448, 'Stressed Variance': 815.793534460626, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.558619402985075, 'Normal Variance': 1421.8609667506687, 'Normal Steady State Time': 10.0})",0.6999999999999996,0.6,0.625,0.625,0.575,0.5625,0.6
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5332.21392722781, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.3207462686567166, 'Stressed Variance': 972.925032278904, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.769514925373135, 'Normal Variance': 1186.647585585598, 'Normal Steady State Time': 10.0})",0.6999999999999996,0.575,0.65,0.675,0.6125,0.5625,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5370.62172680739, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.814626865671642, 'Stressed Variance': 813.8008606816663, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.5602611940298505, 'Normal Variance': 1429.445696946703, 'Normal Steady State Time': 10.0})",0.7099999999999996,0.6125,0.5625,0.6,0.6,0.6125,0.4625
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5370.62172680739, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.215634328358209, 'Stressed Variance': 1099.9436884035977, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.7653731343283585, 'Normal Variance': 1164.5474129204722, 'Normal Steady State Time': 10.0})",0.7099999999999996,0.525,0.525,0.575,0.4875,0.5375,0.5625
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5370.62172680739, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.7666044776119403, 'Stressed Variance': 817.8479519032634, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.538955223880597, 'Normal Variance': 1404.8066168188905, 'Normal Steady State Time': 10.0})",0.7099999999999996,0.625,0.525,0.6125,0.5875,0.65,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5370.62172680739, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.1063432835820897, 'Stressed Variance': 1067.9633179717084, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.8639925373134325, 'Normal Variance': 1186.4553452536757, 'Normal Steady State Time': 10.0})",0.7099999999999996,0.6,0.6125,0.6,0.5625,0.6625,0.4625
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5370.62172680739, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.9848880597014924, 'Stressed Variance': 830.5328686441859, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.44, 'Normal Variance': 1378.2286388059704, 'Normal Steady State Time': 10.0})",0.7099999999999996,0.65,0.7,0.65,0.6875,0.6625,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5370.62172680739, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.1675746268656715, 'Stressed Variance': 1096.8508366548788, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.853134328358209, 'Normal Variance': 1180.9841767431499, 'Normal Steady State Time': 10.0})",0.7099999999999996,0.6,0.5625,0.625,0.55,0.5875,0.4875
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5370.62172680739, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.0690298507462686, 'Stressed Variance': 902.7980707006016, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.574589552238806, 'Normal Variance': 1399.5560781897416, 'Normal Steady State Time': 10.0})",0.7099999999999996,0.6125,0.6625,0.7,0.6125,0.5875,0.5625
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5370.62172680739, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.3454850746268656, 'Stressed Variance': 1137.5888117050013, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.831044776119403, 'Normal Variance': 1187.4064541323232, 'Normal Steady State Time': 10.0})",0.7099999999999996,0.6125,0.4875,0.65,0.5375,0.5375,0.4
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5370.62172680739, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.9429850746268658, 'Stressed Variance': 821.6336149699265, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.571716417910448, 'Normal Variance': 1429.7877672031634, 'Normal Steady State Time': 10.0})",0.7099999999999996,0.65,0.6375,0.7125,0.6625,0.6625,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5370.62172680739, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.2742164179104476, 'Stressed Variance': 1122.4569322218201, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.975261194029851, 'Normal Variance': 1198.742858140733, 'Normal Steady State Time': 10.0})",0.7099999999999996,0.5375,0.525,0.5375,0.55,0.4875,0.625
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5408.75679793323, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.132089552238806, 'Stressed Variance': 887.970313544219, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.4890298507462685, 'Normal Variance': 1384.8522677155268, 'Normal Steady State Time': 10.0})",0.7199999999999996,0.5625,0.5125,0.6125,0.675,0.65,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5408.75679793323, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.4658955223880596, 'Stressed Variance': 1105.3738368846068, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.82026119402985, 'Normal Variance': 1173.7868357526731, 'Normal Steady State Time': 10.0})",0.7199999999999996,0.5125,0.4125,0.5,0.4375,0.425,0.4875
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5408.75679793323, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.091940298507463, 'Stressed Variance': 916.1655022053908, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.5153731343283585, 'Normal Variance': 1400.127002472711, 'Normal Steady State Time': 10.0})",0.7199999999999996,0.6375,0.6,0.675,0.6,0.5875,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5408.75679793323, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.9755597014925375, 'Stressed Variance': 893.0713802837491, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.775111940298507, 'Normal Variance': 1174.2175970023945, 'Normal Steady State Time': 10.0})",0.7199999999999996,0.6,0.65,0.575,0.5875,0.5875,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5408.75679793323, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.951753731343284, 'Stressed Variance': 878.0166648348742, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.389925373134329, 'Normal Variance': 1367.932286561595, 'Normal Steady State Time': 10.0})",0.7199999999999996,0.675,0.6375,0.725,0.6,0.6125,0.4875
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5408.75679793323, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.117649253731343, 'Stressed Variance': 966.9005243247385, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.846231343283582, 'Normal Variance': 1176.5544522151372, 'Normal Steady State Time': 10.0})",0.7199999999999996,0.575,0.525,0.65,0.6125,0.675,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5408.75679793323, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.057723880597015, 'Stressed Variance': 883.3146903416687, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.580708955223881, 'Normal Variance': 1432.6295308406661, 'Normal Steady State Time': 10.0})",0.7199999999999996,0.625,0.525,0.5625,0.575,0.6125,0.4625
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5408.75679793323, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.0740671641791044, 'Stressed Variance': 915.4952230104143, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.990970149253731, 'Normal Variance': 1215.8245453274671, 'Normal Steady State Time': 10.0})",0.7199999999999996,0.5125,0.6,0.55,0.525,0.4875,0.3875
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5408.75679793323, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 2.903992537313433, 'Stressed Variance': 844.8675362984518, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.489888059701492, 'Normal Variance': 1386.1978828232902, 'Normal Steady State Time': 10.0})",0.7199999999999996,0.7125,0.6375,0.7,0.6875,0.65,0.4875
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5408.75679793323, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.0398507462686566, 'Stressed Variance': 917.0080387836936, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.744701492537313, 'Normal Variance': 1162.1740764034307, 'Normal Steady State Time': 10.0})",0.7199999999999996,0.5875,0.5625,0.5375,0.625,0.6125,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 5446.62486921233, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.4517910447761193, 'Stressed Variance': 1149.8132729115616, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.500485074626866, 'Normal Variance': 1415.4572385706726, 'Normal Steady State Time': 10.0})",0.7299999999999996,0.5875,0.5625,0.575,0.6,0.5875,0.5125
