Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY002A Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.46937666598979966, 'rho': 287.6352504443384, 'd': 0.7309898829629499, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.099242424242425, 'Stressed Variance': 158.83810548668504, 'Stressed Steady State Time': 13.68007989312603}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",0.13,1.0,0.7125,1.0,0.6875,0.8125,0.45,0.8875,0.4375
"[{'sigma_u': 18.0, 'sigma_b': 0.46937666598979966, 'rho': 287.6352504443384, 'd': 0.7309898829629499, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.069242424242423, 'Stressed Variance': 158.90414488062441, 'Stressed Steady State Time': 13.68007989312603}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.13,1.0,0.575,1.0,0.575,0.9,0.45,0.8,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.46937666598979966, 'rho': 287.6352504443384, 'd': 0.7309898829629499, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.069242424242423, 'Stressed Variance': 158.90414488062441, 'Stressed Steady State Time': 13.68007989312603}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.13,1.0,0.575,1.0,0.575,0.9,0.45,0.8,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.46937666598979966, 'rho': 287.6352504443384, 'd': 0.7309898829629499, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.069242424242423, 'Stressed Variance': 158.90414488062441, 'Stressed Steady State Time': 13.68007989312603}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.13,1.0,0.575,1.0,0.575,0.9,0.45,0.8,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.46937666598979966, 'rho': 287.6352504443384, 'd': 0.7309898829629499, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.069242424242423, 'Stressed Variance': 158.90414488062441, 'Stressed Steady State Time': 13.68007989312603}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.13,1.0,0.575,1.0,0.575,0.9,0.45,0.8,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.46937666598979966, 'rho': 287.6352504443384, 'd': 0.7309898829629499, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.069242424242423, 'Stressed Variance': 158.90414488062441, 'Stressed Steady State Time': 13.68007989312603}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.13,1.0,0.575,1.0,0.575,0.9,0.45,0.8,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.46937666598979966, 'rho': 287.6352504443384, 'd': 0.7309898829629499, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.069242424242423, 'Stressed Variance': 158.90414488062441, 'Stressed Steady State Time': 13.68007989312603}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.13,1.0,0.575,1.0,0.575,0.9,0.45,0.8,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.46937666598979966, 'rho': 287.6352504443384, 'd': 0.7309898829629499, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.069242424242423, 'Stressed Variance': 158.90414488062441, 'Stressed Steady State Time': 13.68007989312603}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.13,1.0,0.575,1.0,0.575,0.9,0.45,0.8,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.46937666598979966, 'rho': 287.6352504443384, 'd': 0.7309898829629499, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.069242424242423, 'Stressed Variance': 158.90414488062441, 'Stressed Steady State Time': 13.68007989312603}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.13,1.0,0.575,1.0,0.575,0.9,0.45,0.8,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.46937666598979966, 'rho': 287.6352504443384, 'd': 0.7309898829629499, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.069242424242423, 'Stressed Variance': 158.90414488062441, 'Stressed Steady State Time': 13.68007989312603}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.13,1.0,0.575,1.0,0.575,0.9,0.45,0.8,0.425
