class_name,label,tf,x,y,representation,method,TF & Condition,TF
Cup9,2,Cup9,-2.189769845123777,0.044899211983815246,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.159173369080227,0.04991612967400756,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.0732913002687043,0.04935909259555416,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.2283015763541463,0.05923328147466819,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.2314040383136864,0.036404536650909494,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-1.991327383554095,-0.02838723494274433,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.3857641276430894,-0.01658436115959823,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.277464356601583,0.05525199635305752,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.2515430180316787,-0.010302901362187927,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.2939755229238292,0.009515683044501766,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.2827356494971056,0.03504159921408504,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.1897185435960256,0.03245871543626521,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.478355660374049,-0.006227431316830574,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.4280797714171185,0.00999016748637534,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.1996466886350263,0.0806479580923982,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.2446908333619064,-0.004776833092405147,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.3344456613055007,-0.010746734714076799,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.330797513661139,0.009624159185636102,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.425637783803632,0.01880503757035469,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.2105442959526793,0.10650231395113642,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-1.887776333527963,0.013335294477985888,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.4603912340865595,-0.006093605730713731,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-1.9313686157256273,0.032669359527267273,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.2764787525517214,0.001972108124534088,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.2297568005235333,0.05003778967101513,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.2968942366923413,0.01128746665983242,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.3408373920787984,0.03672772194451952,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.178443218065402,-0.0028327088908746967,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.3777245246745844,-0.010548856396976319,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.128313135324245,0.011954386492418754,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.176429454011088,0.06578477495501577,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.352848818044443,0.00887903328946079,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.2057149528637967,0.04100003633952179,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.1073337094427114,0.08948658830277684,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.2782129660595976,0.003894838588732263,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.346899961817647,0.025178632031451417,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.167577738041258,0.07539154730340197,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,2.015737429380599,0.06562252959509021,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.5878397496928747,-0.030370235475737563,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.8281474193849883,0.030686991086053717,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.8676974351098596,-0.10394379597408787,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.7498811041779043,-0.010107081943297958,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.5611358586756563,-0.018795636996266234,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.4981720880564438,-0.05189661140918441,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.489920814138061,0.01905156400095763,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6430855139157141,-0.03900367620650753,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6256823832077971,-0.019518800371108952,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,2.1885703749007157,-0.02947825122835034,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6719924571204747,0.03556355844449342,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.5335690558205655,0.054933244701742906,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6440337139507626,-0.02382456335290028,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.5290845499969088,-0.006820874353460353,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6765153253835656,0.05026631214259186,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6519001228066024,-0.011680017796984661,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6704067272784646,-0.03810106766757833,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.659662295994782,-0.046791490457501986,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.9918568789731261,-0.03938974726269085,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.7816620567885286,0.028576734167111026,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.622682779587543,-0.0026189981174126976,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.9113208584347596,-0.05648422229271545,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.7545018028381818,0.0037013984980091993,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.7148102371203906,-0.015197286375882585,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6505823485069981,0.033316650651279804,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.9884261386028086,0.015117211143887272,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.5623965119965477,-0.006359469488930888,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.8163199021853578,0.0012331899758119584,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.8789170871582328,-0.04736360747746807,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.523649314852039,-0.005651112935990441,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.8436994480207352,0.007333972744353927,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.5761308477387714,-0.07401112993278038,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.7968066364208402,-8.764407875023805e-05,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.5798302060079559,-0.009705480413717792,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,2.6292204821732414,-0.08542300157557682,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6935724130645522,-0.04129253045020235,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.5991454939779692,-0.005220265043506345,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.626591393310219,0.03983297240858977,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.796295488245993,0.02267591254434414,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,2.223514947793321,-0.07401450612173632,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,2.1528823147949314,0.013652695507598265,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.498309674450549,-0.050714402058030746,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6773119298633579,-0.04338647634922755,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.761774022319893,-0.02541721790188871,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.614809149965531,0.015700939201778393,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.8276808357136884,-0.08254418680801985,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6699623452337102,-0.05848405778640092,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.7711643475897054,-0.06344554205209775,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.7790241671210543,-0.07942209605419835,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.9721666182906272,-0.000504310545569797,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.5170924968062518,-0.04605336070192876,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,2.031244555460817,0.015200316447565724,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6659625538273872,-0.0884170335597575,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.5767527059310116,-0.011153108230782407,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6549938834096718,-0.03459373679062491,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.9229192129796078,-0.036533253465233284,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,2.079024040664579,0.01914468426459224,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6599833443261895,-0.05815802137169125,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.7038875715321142,-0.02351524684115827,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.5838654191235066,-0.022238789670578286,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6405440402614364,-0.010964684731497571,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,2.081886609887502,-0.01729435456093377,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.8058853165650652,-0.009637416982948689,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6682265162865757,0.03823112188335714,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.9978573327608022,-0.0055328853293504805,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.538832114222588,0.0057513610331003835,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,2.05974551851557,-0.0041873059951159225,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.708473615076988,-0.05353500530247257,Raw SVM features,PCA,Cup9,Cup9
