Parameter Sets,Stats,CV Ratio,Normal CV,Stress CV,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,IY006C-Transformer Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 0.718732686652155, 'sigma_b': 0.281267313347845, 'rho': 91.47077312355232, 'd': 0.2572773860631183, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.683738317757, 'Stressed Variance': 5319.741941165168, 'Stressed Steady State Time': 38.86855410427204, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7300000000000002,1.0,0.7300000000000002,0.8125,0.375,0.75,0.4375,0.6,0.45,0.675,0.975,0.975,0.6,0.9875
"[{'sigma_u': 0.718732686652155, 'sigma_b': 0.281267313347845, 'rho': 91.47077312355232, 'd': 0.2572773860631183, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.683738317757, 'Stressed Variance': 5319.741941165168, 'Stressed Steady State Time': 38.86855410427204, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7300000000000002,1.0,0.7300000000000002,0.8125,0.375,0.75,0.4375,0.6,0.45,0.675,0.975,0.975,0.6,0.9875
"[{'sigma_u': 0.718732686652155, 'sigma_b': 0.281267313347845, 'rho': 91.47077312355232, 'd': 0.2572773860631183, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.683738317757, 'Stressed Variance': 5319.741941165168, 'Stressed Steady State Time': 38.86855410427204, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7300000000000002,1.0,0.7300000000000002,0.8125,0.375,0.75,0.4375,0.6,0.45,0.675,0.975,0.975,0.6,0.9875
"[{'sigma_u': 0.718732686652155, 'sigma_b': 0.281267313347845, 'rho': 91.47077312355232, 'd': 0.2572773860631183, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.683738317757, 'Stressed Variance': 5319.741941165168, 'Stressed Steady State Time': 38.86855410427204, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7300000000000002,1.0,0.7300000000000002,0.8125,0.375,0.75,0.4375,0.6,0.45,0.675,0.975,0.975,0.6,0.9875
"[{'sigma_u': 0.718732686652155, 'sigma_b': 0.281267313347845, 'rho': 91.47077312355232, 'd': 0.2572773860631183, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.683738317757, 'Stressed Variance': 5319.741941165168, 'Stressed Steady State Time': 38.86855410427204, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7300000000000002,1.0,0.7300000000000002,0.8125,0.375,0.75,0.4375,0.6,0.45,0.675,0.975,0.975,0.6,0.9875
"[{'sigma_u': 0.7242820613952873, 'sigma_b': 0.2757179386047128, 'rho': 93.32424432941195, 'd': 0.2573116826834802, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 97.69677570093458, 'Stressed Variance': 5428.47576530483, 'Stressed Steady State Time': 38.86337338324831, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7400000000000002,1.0,0.7400000000000002,0.7625,0.5375,0.7,0.5,0.5375,0.45,0.7,0.9875,0.9875,0.7625,0.9875
"[{'sigma_u': 0.7242820613952873, 'sigma_b': 0.2757179386047128, 'rho': 93.32424432941195, 'd': 0.2573116826834802, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 97.69677570093458, 'Stressed Variance': 5428.47576530483, 'Stressed Steady State Time': 38.86337338324831, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7400000000000002,1.0,0.7400000000000002,0.7625,0.5375,0.7,0.5,0.5375,0.45,0.7,0.9875,0.9875,0.7625,0.9875
"[{'sigma_u': 0.7242820613952873, 'sigma_b': 0.2757179386047128, 'rho': 93.32424432941195, 'd': 0.2573116826834802, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 97.69677570093458, 'Stressed Variance': 5428.47576530483, 'Stressed Steady State Time': 38.86337338324831, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7400000000000002,1.0,0.7400000000000002,0.7625,0.5375,0.7,0.5,0.5375,0.45,0.7,0.9875,0.9875,0.7625,0.9875
"[{'sigma_u': 0.7242820613952873, 'sigma_b': 0.2757179386047128, 'rho': 93.32424432941195, 'd': 0.2573116826834802, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 97.69677570093458, 'Stressed Variance': 5428.47576530483, 'Stressed Steady State Time': 38.86337338324831, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7400000000000002,1.0,0.7400000000000002,0.7625,0.5375,0.7,0.5,0.5375,0.45,0.7,0.9875,0.9875,0.7625,0.9875
"[{'sigma_u': 0.7242820613952873, 'sigma_b': 0.2757179386047128, 'rho': 93.32424432941195, 'd': 0.2573116826834802, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 97.69677570093458, 'Stressed Variance': 5428.47576530483, 'Stressed Steady State Time': 38.86337338324831, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7400000000000002,1.0,0.7400000000000002,0.7625,0.5375,0.7,0.5,0.5375,0.45,0.7,0.9875,0.9875,0.7625,0.9875
"[{'sigma_u': 0.7242820613952873, 'sigma_b': 0.2757179386047128, 'rho': 93.32424432941195, 'd': 0.2573116826834802, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 97.69677570093458, 'Stressed Variance': 5428.47576530483, 'Stressed Steady State Time': 38.86337338324831, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7400000000000002,1.0,0.7400000000000002,0.7625,0.5375,0.7,0.5,0.5375,0.45,0.7,0.9875,0.9875,0.7625,0.9875
"[{'sigma_u': 0.7242820613952873, 'sigma_b': 0.2757179386047128, 'rho': 93.32424432941195, 'd': 0.2573116826834802, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 97.69677570093458, 'Stressed Variance': 5428.47576530483, 'Stressed Steady State Time': 38.86337338324831, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7400000000000002,1.0,0.7400000000000002,0.7625,0.5375,0.7,0.5,0.5375,0.45,0.7,0.9875,0.9875,0.7625,0.9875
"[{'sigma_u': 0.7242820613952873, 'sigma_b': 0.2757179386047128, 'rho': 93.32424432941195, 'd': 0.2573116826834802, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 97.69677570093458, 'Stressed Variance': 5428.47576530483, 'Stressed Steady State Time': 38.86337338324831, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7400000000000002,1.0,0.7400000000000002,0.7625,0.5375,0.7,0.5,0.5375,0.45,0.7,0.9875,0.9875,0.7625,0.9875
"[{'sigma_u': 0.7242820613952873, 'sigma_b': 0.2757179386047128, 'rho': 93.32424432941195, 'd': 0.2573116826834802, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 97.69677570093458, 'Stressed Variance': 5428.47576530483, 'Stressed Steady State Time': 38.86337338324831, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7400000000000002,1.0,0.7400000000000002,0.7625,0.5375,0.7,0.5,0.5375,0.45,0.7,0.9875,0.9875,0.7625,0.9875
"[{'sigma_u': 0.7242820613952873, 'sigma_b': 0.2757179386047128, 'rho': 93.32424432941195, 'd': 0.2573116826834802, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 97.69677570093458, 'Stressed Variance': 5428.47576530483, 'Stressed Steady State Time': 38.86337338324831, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7400000000000002,1.0,0.7400000000000002,0.7625,0.5375,0.7,0.5,0.5375,0.45,0.7,0.9875,0.9875,0.7625,0.9875
"[{'sigma_u': 0.7296878349510116, 'sigma_b': 0.2703121650489885, 'rho': 95.20275247080883, 'd': 0.2573446213900727, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.3181308411215, 'Stressed Variance': 5455.209633889423, 'Stressed Steady State Time': 38.858399083625685, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7500000000000002,1.0,0.7500000000000002,0.7625,0.5,0.6875,0.4625,0.575,0.45,0.6125,0.9875,0.9875,0.8,0.975
"[{'sigma_u': 0.7296878349510116, 'sigma_b': 0.2703121650489885, 'rho': 95.20275247080883, 'd': 0.2573446213900727, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.3181308411215, 'Stressed Variance': 5455.209633889423, 'Stressed Steady State Time': 38.858399083625685, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7500000000000002,1.0,0.7500000000000002,0.7625,0.5,0.6875,0.4625,0.575,0.45,0.6125,0.9875,0.9875,0.8,0.975
"[{'sigma_u': 0.7296878349510116, 'sigma_b': 0.2703121650489885, 'rho': 95.20275247080883, 'd': 0.2573446213900727, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.3181308411215, 'Stressed Variance': 5455.209633889423, 'Stressed Steady State Time': 38.858399083625685, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7500000000000002,1.0,0.7500000000000002,0.7625,0.5,0.6875,0.4625,0.575,0.45,0.6125,0.9875,0.9875,0.8,0.975
"[{'sigma_u': 0.7296878349510116, 'sigma_b': 0.2703121650489885, 'rho': 95.20275247080883, 'd': 0.2573446213900727, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.3181308411215, 'Stressed Variance': 5455.209633889423, 'Stressed Steady State Time': 38.858399083625685, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7500000000000002,1.0,0.7500000000000002,0.7625,0.5,0.6875,0.4625,0.575,0.45,0.6125,0.9875,0.9875,0.8,0.975
"[{'sigma_u': 0.7296878349510116, 'sigma_b': 0.2703121650489885, 'rho': 95.20275247080883, 'd': 0.2573446213900727, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.3181308411215, 'Stressed Variance': 5455.209633889423, 'Stressed Steady State Time': 38.858399083625685, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7500000000000002,1.0,0.7500000000000002,0.7625,0.5,0.6875,0.4625,0.575,0.45,0.6125,0.9875,0.9875,0.8,0.975
"[{'sigma_u': 0.7296878349510116, 'sigma_b': 0.2703121650489885, 'rho': 95.20275247080883, 'd': 0.2573446213900727, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.3181308411215, 'Stressed Variance': 5455.209633889423, 'Stressed Steady State Time': 38.858399083625685, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7500000000000002,1.0,0.7500000000000002,0.7625,0.5,0.6875,0.4625,0.575,0.45,0.6125,0.9875,0.9875,0.8,0.975
"[{'sigma_u': 0.7296878349510116, 'sigma_b': 0.2703121650489885, 'rho': 95.20275247080883, 'd': 0.2573446213900727, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.3181308411215, 'Stressed Variance': 5455.209633889423, 'Stressed Steady State Time': 38.858399083625685, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7500000000000002,1.0,0.7500000000000002,0.7625,0.5,0.6875,0.4625,0.575,0.45,0.6125,0.9875,0.9875,0.8,0.975
"[{'sigma_u': 0.7296878349510116, 'sigma_b': 0.2703121650489885, 'rho': 95.20275247080883, 'd': 0.2573446213900727, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.3181308411215, 'Stressed Variance': 5455.209633889423, 'Stressed Steady State Time': 38.858399083625685, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7500000000000002,1.0,0.7500000000000002,0.7625,0.5,0.6875,0.4625,0.575,0.45,0.6125,0.9875,0.9875,0.8,0.975
"[{'sigma_u': 0.7296878349510116, 'sigma_b': 0.2703121650489885, 'rho': 95.20275247080883, 'd': 0.2573446213900727, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.3181308411215, 'Stressed Variance': 5455.209633889423, 'Stressed Steady State Time': 38.858399083625685, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7500000000000002,1.0,0.7500000000000002,0.7625,0.5,0.6875,0.4625,0.575,0.45,0.6125,0.9875,0.9875,0.8,0.975
"[{'sigma_u': 0.7296878349510116, 'sigma_b': 0.2703121650489885, 'rho': 95.20275247080883, 'd': 0.2573446213900727, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.3181308411215, 'Stressed Variance': 5455.209633889423, 'Stressed Steady State Time': 38.858399083625685, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7500000000000002,1.0,0.7500000000000002,0.7625,0.5,0.6875,0.4625,0.575,0.45,0.6125,0.9875,0.9875,0.8,0.975
"[{'sigma_u': 0.7349541061170477, 'sigma_b': 0.26504589388295224, 'rho': 97.10630453557351, 'd': 0.2573762728730126, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.7470093457944, 'Stressed Variance': 5686.429827504586, 'Stressed Steady State Time': 38.85362037600847, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7600000000000002,1.0,0.7600000000000002,0.725,0.45,0.8,0.525,0.55,0.45,0.675,0.9875,0.9625,0.65,0.975
"[{'sigma_u': 0.7349541061170477, 'sigma_b': 0.26504589388295224, 'rho': 97.10630453557351, 'd': 0.2573762728730126, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.7470093457944, 'Stressed Variance': 5686.429827504586, 'Stressed Steady State Time': 38.85362037600847, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7600000000000002,1.0,0.7600000000000002,0.725,0.45,0.8,0.525,0.55,0.45,0.675,0.9875,0.9625,0.65,0.975
"[{'sigma_u': 0.7349541061170477, 'sigma_b': 0.26504589388295224, 'rho': 97.10630453557351, 'd': 0.2573762728730126, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.7470093457944, 'Stressed Variance': 5686.429827504586, 'Stressed Steady State Time': 38.85362037600847, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7600000000000002,1.0,0.7600000000000002,0.725,0.45,0.8,0.525,0.55,0.45,0.675,0.9875,0.9625,0.65,0.975
"[{'sigma_u': 0.7349541061170477, 'sigma_b': 0.26504589388295224, 'rho': 97.10630453557351, 'd': 0.2573762728730126, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.7470093457944, 'Stressed Variance': 5686.429827504586, 'Stressed Steady State Time': 38.85362037600847, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7600000000000002,1.0,0.7600000000000002,0.725,0.45,0.8,0.525,0.55,0.45,0.675,0.9875,0.9625,0.65,0.975
"[{'sigma_u': 0.7349541061170477, 'sigma_b': 0.26504589388295224, 'rho': 97.10630453557351, 'd': 0.2573762728730126, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.7470093457944, 'Stressed Variance': 5686.429827504586, 'Stressed Steady State Time': 38.85362037600847, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7600000000000002,1.0,0.7600000000000002,0.725,0.45,0.8,0.525,0.55,0.45,0.675,0.9875,0.9625,0.65,0.975
"[{'sigma_u': 0.7349541061170477, 'sigma_b': 0.26504589388295224, 'rho': 97.10630453557351, 'd': 0.2573762728730126, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.7470093457944, 'Stressed Variance': 5686.429827504586, 'Stressed Steady State Time': 38.85362037600847, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7600000000000002,1.0,0.7600000000000002,0.725,0.45,0.8,0.525,0.55,0.45,0.675,0.9875,0.9625,0.65,0.975
"[{'sigma_u': 0.7349541061170477, 'sigma_b': 0.26504589388295224, 'rho': 97.10630453557351, 'd': 0.2573762728730126, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.7470093457944, 'Stressed Variance': 5686.429827504586, 'Stressed Steady State Time': 38.85362037600847, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7600000000000002,1.0,0.7600000000000002,0.725,0.45,0.8,0.525,0.55,0.45,0.675,0.9875,0.9625,0.65,0.975
"[{'sigma_u': 0.7349541061170477, 'sigma_b': 0.26504589388295224, 'rho': 97.10630453557351, 'd': 0.2573762728730126, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.7470093457944, 'Stressed Variance': 5686.429827504586, 'Stressed Steady State Time': 38.85362037600847, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7600000000000002,1.0,0.7600000000000002,0.725,0.45,0.8,0.525,0.55,0.45,0.675,0.9875,0.9625,0.65,0.975
"[{'sigma_u': 0.7349541061170477, 'sigma_b': 0.26504589388295224, 'rho': 97.10630453557351, 'd': 0.2573762728730126, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.7470093457944, 'Stressed Variance': 5686.429827504586, 'Stressed Steady State Time': 38.85362037600847, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7600000000000002,1.0,0.7600000000000002,0.725,0.45,0.8,0.525,0.55,0.45,0.675,0.9875,0.9625,0.65,0.975
"[{'sigma_u': 0.7349541061170477, 'sigma_b': 0.26504589388295224, 'rho': 97.10630453557351, 'd': 0.2573762728730126, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.7470093457944, 'Stressed Variance': 5686.429827504586, 'Stressed Steady State Time': 38.85362037600847, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7600000000000002,1.0,0.7600000000000002,0.725,0.45,0.8,0.525,0.55,0.45,0.675,0.9875,0.9625,0.65,0.975
"[{'sigma_u': 0.7400848741933331, 'sigma_b': 0.2599151258066668, 'rho': 99.03490706305453, 'd': 0.2574067032854538, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.76490654205608, 'Stressed Variance': 5791.861039477247, 'Stressed Steady State Time': 38.849027132406874, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7700000000000002,1.0,0.7700000000000002,0.7875,0.5375,0.65,0.475,0.5375,0.45,0.625,0.9625,0.9625,0.6375,0.975
"[{'sigma_u': 0.7400848741933331, 'sigma_b': 0.2599151258066668, 'rho': 99.03490706305453, 'd': 0.2574067032854538, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.76490654205608, 'Stressed Variance': 5791.861039477247, 'Stressed Steady State Time': 38.849027132406874, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7700000000000002,1.0,0.7700000000000002,0.7875,0.5375,0.65,0.475,0.5375,0.45,0.625,0.9625,0.9625,0.6375,0.975
"[{'sigma_u': 0.7400848741933331, 'sigma_b': 0.2599151258066668, 'rho': 99.03490706305453, 'd': 0.2574067032854538, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.76490654205608, 'Stressed Variance': 5791.861039477247, 'Stressed Steady State Time': 38.849027132406874, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7700000000000002,1.0,0.7700000000000002,0.7875,0.5375,0.65,0.475,0.5375,0.45,0.625,0.9625,0.9625,0.6375,0.975
"[{'sigma_u': 0.7400848741933331, 'sigma_b': 0.2599151258066668, 'rho': 99.03490706305453, 'd': 0.2574067032854538, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.76490654205608, 'Stressed Variance': 5791.861039477247, 'Stressed Steady State Time': 38.849027132406874, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7700000000000002,1.0,0.7700000000000002,0.7875,0.5375,0.65,0.475,0.5375,0.45,0.625,0.9625,0.9625,0.6375,0.975
"[{'sigma_u': 0.7400848741933331, 'sigma_b': 0.2599151258066668, 'rho': 99.03490706305453, 'd': 0.2574067032854538, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.76490654205608, 'Stressed Variance': 5791.861039477247, 'Stressed Steady State Time': 38.849027132406874, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7700000000000002,1.0,0.7700000000000002,0.7875,0.5375,0.65,0.475,0.5375,0.45,0.625,0.9625,0.9625,0.6375,0.975
"[{'sigma_u': 0.7400848741933331, 'sigma_b': 0.2599151258066668, 'rho': 99.03490706305453, 'd': 0.2574067032854538, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.76490654205608, 'Stressed Variance': 5791.861039477247, 'Stressed Steady State Time': 38.849027132406874, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7700000000000002,1.0,0.7700000000000002,0.7875,0.5375,0.65,0.475,0.5375,0.45,0.625,0.9625,0.9625,0.6375,0.975
