Parameter Sets,Stats,CV Ratio,Normal CV,Stress CV,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy,IY006B Transformer Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 2.1239425774040503, 'rho': 320.52720276790996, 'd': 0.727514480933768, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.378977272727276, 'Stressed Variance': 697.588308044938, 'Stressed Steady State Time': 13.74543086367842}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7600000000000011,0.32,0.5632000000000004,1.0,0.55,0.9875,0.525,0.725,0.45,0.925,1.0,0.5,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 2.1239425774040503, 'rho': 320.52720276790996, 'd': 0.727514480933768, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.378977272727276, 'Stressed Variance': 697.588308044938, 'Stressed Steady State Time': 13.74543086367842}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7600000000000011,0.32,0.5632000000000004,1.0,0.55,0.9875,0.525,0.725,0.45,0.925,1.0,0.5,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 2.1239425774040503, 'rho': 320.52720276790996, 'd': 0.727514480933768, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.378977272727276, 'Stressed Variance': 697.588308044938, 'Stressed Steady State Time': 13.74543086367842}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7600000000000011,0.32,0.5632000000000004,1.0,0.55,0.9875,0.525,0.725,0.45,0.925,1.0,0.5,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 2.1239425774040503, 'rho': 320.52720276790996, 'd': 0.727514480933768, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.378977272727276, 'Stressed Variance': 697.588308044938, 'Stressed Steady State Time': 13.74543086367842}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7600000000000011,0.32,0.5632000000000004,1.0,0.55,0.9875,0.525,0.725,0.45,0.925,1.0,0.5,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 2.1239425774040503, 'rho': 320.52720276790996, 'd': 0.727514480933768, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.378977272727276, 'Stressed Variance': 697.588308044938, 'Stressed Steady State Time': 13.74543086367842}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7600000000000011,0.32,0.5632000000000004,1.0,0.55,0.9875,0.525,0.725,0.45,0.925,1.0,0.5,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 2.1008201160332693, 'rho': 323.7145186702971, 'd': 0.7275859689679357, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.3557196969697, 'Stressed Variance': 694.703652891127, 'Stressed Steady State Time': 13.74408032384788}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7700000000000011,0.32,0.5664000000000003,1.0,0.6125,1.0,0.65,0.75,0.45,0.75,1.0,0.55,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 2.1008201160332693, 'rho': 323.7145186702971, 'd': 0.7275859689679357, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.3557196969697, 'Stressed Variance': 694.703652891127, 'Stressed Steady State Time': 13.74408032384788}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7700000000000011,0.32,0.5664000000000003,1.0,0.6125,1.0,0.65,0.75,0.45,0.75,1.0,0.55,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 2.1008201160332693, 'rho': 323.7145186702971, 'd': 0.7275859689679357, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.3557196969697, 'Stressed Variance': 694.703652891127, 'Stressed Steady State Time': 13.74408032384788}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7700000000000011,0.32,0.5664000000000003,1.0,0.6125,1.0,0.65,0.75,0.45,0.75,1.0,0.55,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 2.1008201160332693, 'rho': 323.7145186702971, 'd': 0.7275859689679357, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.3557196969697, 'Stressed Variance': 694.703652891127, 'Stressed Steady State Time': 13.74408032384788}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7700000000000011,0.32,0.5664000000000003,1.0,0.6125,1.0,0.65,0.75,0.45,0.75,1.0,0.55,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 2.1008201160332693, 'rho': 323.7145186702971, 'd': 0.7275859689679357, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.3557196969697, 'Stressed Variance': 694.703652891127, 'Stressed Steady State Time': 13.74408032384788}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7700000000000011,0.32,0.5664000000000003,1.0,0.6125,1.0,0.65,0.75,0.45,0.75,1.0,0.55,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 2.1008201160332693, 'rho': 323.7145186702971, 'd': 0.7275859689679357, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.3557196969697, 'Stressed Variance': 694.703652891127, 'Stressed Steady State Time': 13.74408032384788}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7700000000000011,0.32,0.5664000000000003,1.0,0.6125,1.0,0.65,0.75,0.45,0.75,1.0,0.55,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 2.1008201160332693, 'rho': 323.7145186702971, 'd': 0.7275859689679357, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.3557196969697, 'Stressed Variance': 694.703652891127, 'Stressed Steady State Time': 13.74408032384788}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7700000000000011,0.32,0.5664000000000003,1.0,0.6125,1.0,0.65,0.75,0.45,0.75,1.0,0.55,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 2.1008201160332693, 'rho': 323.7145186702971, 'd': 0.7275859689679357, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.3557196969697, 'Stressed Variance': 694.703652891127, 'Stressed Steady State Time': 13.74408032384788}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7700000000000011,0.32,0.5664000000000003,1.0,0.6125,1.0,0.65,0.75,0.45,0.75,1.0,0.55,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 2.1008201160332693, 'rho': 323.7145186702971, 'd': 0.7275859689679357, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.3557196969697, 'Stressed Variance': 694.703652891127, 'Stressed Steady State Time': 13.74408032384788}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7700000000000011,0.32,0.5664000000000003,1.0,0.6125,1.0,0.65,0.75,0.45,0.75,1.0,0.55,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 2.1008201160332693, 'rho': 323.7145186702971, 'd': 0.7275859689679357, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.3557196969697, 'Stressed Variance': 694.703652891127, 'Stressed Steady State Time': 13.74408032384788}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7700000000000011,0.32,0.5664000000000003,1.0,0.6125,1.0,0.65,0.75,0.45,0.75,1.0,0.55,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 2.07807416056943, 'rho': 326.9191418267694, 'd': 0.7276564537457197, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.56488636363636, 'Stressed Variance': 695.1657140022384, 'Stressed Steady State Time': 13.742748997172379}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7800000000000011,0.32,0.5696000000000003,1.0,0.5625,0.9875,0.5375,0.775,0.45,0.675,1.0,0.55,0.9625,1.0
"[{'sigma_u': 18.0, 'sigma_b': 2.07807416056943, 'rho': 326.9191418267694, 'd': 0.7276564537457197, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.56488636363636, 'Stressed Variance': 695.1657140022384, 'Stressed Steady State Time': 13.742748997172379}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7800000000000011,0.32,0.5696000000000003,1.0,0.5625,0.9875,0.5375,0.775,0.45,0.675,1.0,0.55,0.9625,1.0
"[{'sigma_u': 18.0, 'sigma_b': 2.07807416056943, 'rho': 326.9191418267694, 'd': 0.7276564537457197, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.56488636363636, 'Stressed Variance': 695.1657140022384, 'Stressed Steady State Time': 13.742748997172379}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7800000000000011,0.32,0.5696000000000003,1.0,0.5625,0.9875,0.5375,0.775,0.45,0.675,1.0,0.55,0.9625,1.0
"[{'sigma_u': 18.0, 'sigma_b': 2.07807416056943, 'rho': 326.9191418267694, 'd': 0.7276564537457197, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.56488636363636, 'Stressed Variance': 695.1657140022384, 'Stressed Steady State Time': 13.742748997172379}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7800000000000011,0.32,0.5696000000000003,1.0,0.5625,0.9875,0.5375,0.775,0.45,0.675,1.0,0.55,0.9625,1.0
"[{'sigma_u': 18.0, 'sigma_b': 2.07807416056943, 'rho': 326.9191418267694, 'd': 0.7276564537457197, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.56488636363636, 'Stressed Variance': 695.1657140022384, 'Stressed Steady State Time': 13.742748997172379}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7800000000000011,0.32,0.5696000000000003,1.0,0.5625,0.9875,0.5375,0.775,0.45,0.675,1.0,0.55,0.9625,1.0
"[{'sigma_u': 18.0, 'sigma_b': 2.07807416056943, 'rho': 326.9191418267694, 'd': 0.7276564537457197, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.56488636363636, 'Stressed Variance': 695.1657140022384, 'Stressed Steady State Time': 13.742748997172379}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7800000000000011,0.32,0.5696000000000003,1.0,0.5625,0.9875,0.5375,0.775,0.45,0.675,1.0,0.55,0.9625,1.0
"[{'sigma_u': 18.0, 'sigma_b': 2.07807416056943, 'rho': 326.9191418267694, 'd': 0.7276564537457197, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.56488636363636, 'Stressed Variance': 695.1657140022384, 'Stressed Steady State Time': 13.742748997172379}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7800000000000011,0.32,0.5696000000000003,1.0,0.5625,0.9875,0.5375,0.775,0.45,0.675,1.0,0.55,0.9625,1.0
"[{'sigma_u': 18.0, 'sigma_b': 2.07807416056943, 'rho': 326.9191418267694, 'd': 0.7276564537457197, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.56488636363636, 'Stressed Variance': 695.1657140022384, 'Stressed Steady State Time': 13.742748997172379}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7800000000000011,0.32,0.5696000000000003,1.0,0.5625,0.9875,0.5375,0.775,0.45,0.675,1.0,0.55,0.9625,1.0
"[{'sigma_u': 18.0, 'sigma_b': 2.07807416056943, 'rho': 326.9191418267694, 'd': 0.7276564537457197, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.56488636363636, 'Stressed Variance': 695.1657140022384, 'Stressed Steady State Time': 13.742748997172379}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7800000000000011,0.32,0.5696000000000003,1.0,0.5625,0.9875,0.5375,0.775,0.45,0.675,1.0,0.55,0.9625,1.0
"[{'sigma_u': 18.0, 'sigma_b': 2.07807416056943, 'rho': 326.9191418267694, 'd': 0.7276564537457197, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.56488636363636, 'Stressed Variance': 695.1657140022384, 'Stressed Steady State Time': 13.742748997172379}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7800000000000011,0.32,0.5696000000000003,1.0,0.5625,0.9875,0.5375,0.775,0.45,0.675,1.0,0.55,0.9625,1.0
"[{'sigma_u': 18.0, 'sigma_b': 2.0556964941811486, 'rho': 330.14108183386725, 'd': 0.7277259532696448, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.519128787878785, 'Stressed Variance': 707.0964522712926, 'Stressed Steady State Time': 13.741436532626578}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7900000000000011,0.32,0.5728000000000004,1.0,0.5125,0.9875,0.5125,0.725,0.45,0.925,1.0,0.55,0.975,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.0556964941811486, 'rho': 330.14108183386725, 'd': 0.7277259532696448, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.519128787878785, 'Stressed Variance': 707.0964522712926, 'Stressed Steady State Time': 13.741436532626578}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7900000000000011,0.32,0.5728000000000004,1.0,0.5125,0.9875,0.5125,0.725,0.45,0.925,1.0,0.55,0.975,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.0556964941811486, 'rho': 330.14108183386725, 'd': 0.7277259532696448, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.519128787878785, 'Stressed Variance': 707.0964522712926, 'Stressed Steady State Time': 13.741436532626578}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7900000000000011,0.32,0.5728000000000004,1.0,0.5125,0.9875,0.5125,0.725,0.45,0.925,1.0,0.55,0.975,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.0556964941811486, 'rho': 330.14108183386725, 'd': 0.7277259532696448, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.519128787878785, 'Stressed Variance': 707.0964522712926, 'Stressed Steady State Time': 13.741436532626578}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7900000000000011,0.32,0.5728000000000004,1.0,0.5125,0.9875,0.5125,0.725,0.45,0.925,1.0,0.55,0.975,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.0556964941811486, 'rho': 330.14108183386725, 'd': 0.7277259532696448, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.519128787878785, 'Stressed Variance': 707.0964522712926, 'Stressed Steady State Time': 13.741436532626578}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7900000000000011,0.32,0.5728000000000004,1.0,0.5125,0.9875,0.5125,0.725,0.45,0.925,1.0,0.55,0.975,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.0556964941811486, 'rho': 330.14108183386725, 'd': 0.7277259532696448, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.519128787878785, 'Stressed Variance': 707.0964522712926, 'Stressed Steady State Time': 13.741436532626578}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7900000000000011,0.32,0.5728000000000004,1.0,0.5125,0.9875,0.5125,0.725,0.45,0.925,1.0,0.55,0.975,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.0556964941811486, 'rho': 330.14108183386725, 'd': 0.7277259532696448, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.519128787878785, 'Stressed Variance': 707.0964522712926, 'Stressed Steady State Time': 13.741436532626578}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7900000000000011,0.32,0.5728000000000004,1.0,0.5125,0.9875,0.5125,0.725,0.45,0.925,1.0,0.55,0.975,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.0556964941811486, 'rho': 330.14108183386725, 'd': 0.7277259532696448, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.519128787878785, 'Stressed Variance': 707.0964522712926, 'Stressed Steady State Time': 13.741436532626578}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7900000000000011,0.32,0.5728000000000004,1.0,0.5125,0.9875,0.5125,0.725,0.45,0.925,1.0,0.55,0.975,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.0556964941811486, 'rho': 330.14108183386725, 'd': 0.7277259532696448, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.519128787878785, 'Stressed Variance': 707.0964522712926, 'Stressed Steady State Time': 13.741436532626578}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7900000000000011,0.32,0.5728000000000004,1.0,0.5125,0.9875,0.5125,0.725,0.45,0.925,1.0,0.55,0.975,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.0556964941811486, 'rho': 330.14108183386725, 'd': 0.7277259532696448, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.519128787878785, 'Stressed Variance': 707.0964522712926, 'Stressed Steady State Time': 13.741436532626578}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.7900000000000011,0.32,0.5728000000000004,1.0,0.5125,0.9875,0.5125,0.725,0.45,0.925,1.0,0.55,0.975,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.0336791269199486, 'rho': 333.38034806422377, 'd': 0.7277944851954414, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.80257575757576, 'Stressed Variance': 716.2679933654729, 'Stressed Steady State Time': 13.740142586151373}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.8000000000000012,0.32,0.5760000000000004,1.0,0.625,0.975,0.625,0.7125,0.45,0.9375,1.0,0.5125,0.95,0.975
"[{'sigma_u': 18.0, 'sigma_b': 2.0336791269199486, 'rho': 333.38034806422377, 'd': 0.7277944851954414, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.80257575757576, 'Stressed Variance': 716.2679933654729, 'Stressed Steady State Time': 13.740142586151373}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.8000000000000012,0.32,0.5760000000000004,1.0,0.625,0.975,0.625,0.7125,0.45,0.9375,1.0,0.5125,0.95,0.975
"[{'sigma_u': 18.0, 'sigma_b': 2.0336791269199486, 'rho': 333.38034806422377, 'd': 0.7277944851954414, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.80257575757576, 'Stressed Variance': 716.2679933654729, 'Stressed Steady State Time': 13.740142586151373}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.8000000000000012,0.32,0.5760000000000004,1.0,0.625,0.975,0.625,0.7125,0.45,0.9375,1.0,0.5125,0.95,0.975
"[{'sigma_u': 18.0, 'sigma_b': 2.0336791269199486, 'rho': 333.38034806422377, 'd': 0.7277944851954414, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.80257575757576, 'Stressed Variance': 716.2679933654729, 'Stressed Steady State Time': 13.740142586151373}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.8000000000000012,0.32,0.5760000000000004,1.0,0.625,0.975,0.625,0.7125,0.45,0.9375,1.0,0.5125,0.95,0.975
"[{'sigma_u': 18.0, 'sigma_b': 2.0336791269199486, 'rho': 333.38034806422377, 'd': 0.7277944851954414, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.80257575757576, 'Stressed Variance': 716.2679933654729, 'Stressed Steady State Time': 13.740142586151373}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.8000000000000012,0.32,0.5760000000000004,1.0,0.625,0.975,0.625,0.7125,0.45,0.9375,1.0,0.5125,0.95,0.975
"[{'sigma_u': 18.0, 'sigma_b': 2.0336791269199486, 'rho': 333.38034806422377, 'd': 0.7277944851954414, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.80257575757576, 'Stressed Variance': 716.2679933654729, 'Stressed Steady State Time': 13.740142586151373}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.8000000000000012,0.32,0.5760000000000004,1.0,0.625,0.975,0.625,0.7125,0.45,0.9375,1.0,0.5125,0.95,0.975
"[{'sigma_u': 18.0, 'sigma_b': 2.0336791269199486, 'rho': 333.38034806422377, 'd': 0.7277944851954414, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.80257575757576, 'Stressed Variance': 716.2679933654729, 'Stressed Steady State Time': 13.740142586151373}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.8000000000000012,0.32,0.5760000000000004,1.0,0.625,0.975,0.625,0.7125,0.45,0.9375,1.0,0.5125,0.95,0.975
