Parameter Sets,Stats,CV Ratio,Normal CV,Stress CV,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 2.713945057319432, 'rho': 257.57200757191526, 'd': 0.7257448144381489, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.6042803030303, 'Stressed Variance': 535.8453377396121, 'Stressed Steady State Time': 13.778947918135271}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.550000000000001,0.32,0.49600000000000033,0.9875,0.4375,0.9125,0.4875,0.5125,0.45,0.625,1.0,0.525,0.9
"[{'sigma_u': 18.0, 'sigma_b': 2.713945057319432, 'rho': 257.57200757191526, 'd': 0.7257448144381489, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.6042803030303, 'Stressed Variance': 535.8453377396121, 'Stressed Steady State Time': 13.778947918135271}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.550000000000001,0.32,0.49600000000000033,0.9875,0.4375,0.9125,0.4875,0.5125,0.45,0.625,1.0,0.525,0.9
"[{'sigma_u': 18.0, 'sigma_b': 2.713945057319432, 'rho': 257.57200757191526, 'd': 0.7257448144381489, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.6042803030303, 'Stressed Variance': 535.8453377396121, 'Stressed Steady State Time': 13.778947918135271}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.550000000000001,0.32,0.49600000000000033,0.9875,0.4375,0.9125,0.4875,0.5125,0.45,0.625,1.0,0.525,0.9
"[{'sigma_u': 18.0, 'sigma_b': 2.713945057319432, 'rho': 257.57200757191526, 'd': 0.7257448144381489, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.6042803030303, 'Stressed Variance': 535.8453377396121, 'Stressed Steady State Time': 13.778947918135271}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.550000000000001,0.32,0.49600000000000033,0.9875,0.4375,0.9125,0.4875,0.5125,0.45,0.625,1.0,0.525,0.9
"[{'sigma_u': 18.0, 'sigma_b': 2.713945057319432, 'rho': 257.57200757191526, 'd': 0.7257448144381489, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.6042803030303, 'Stressed Variance': 535.8453377396121, 'Stressed Steady State Time': 13.778947918135271}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.550000000000001,0.32,0.49600000000000033,0.9875,0.4375,0.9125,0.4875,0.5125,0.45,0.625,1.0,0.525,0.9
"[{'sigma_u': 18.0, 'sigma_b': 2.680513889275964, 'rho': 260.39852474604237, 'd': 0.7258423469852351, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.59136363636364, 'Stressed Variance': 551.120213292011, 'Stressed Steady State Time': 13.77709641981445}, {'Normal Mean': 46.42189393939394, 'Normal Variance': 221.9824600493572, 'Normal Steady State Time': 13.610205889568428})",1.560000000000001,0.32,0.4992000000000003,1.0,0.3875,0.95,0.3875,0.5,0.45,0.575,1.0,0.525,0.9125
"[{'sigma_u': 18.0, 'sigma_b': 2.680513889275964, 'rho': 260.39852474604237, 'd': 0.7258423469852351, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.38231060606061, 'Stressed Variance': 537.1971340550391, 'Stressed Steady State Time': 13.77709641981445}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.560000000000001,0.32,0.4992000000000003,1.0,0.5125,0.95,0.5375,0.675,0.45,0.5375,1.0,0.525,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.680513889275964, 'rho': 260.39852474604237, 'd': 0.7258423469852351, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.38231060606061, 'Stressed Variance': 537.1971340550391, 'Stressed Steady State Time': 13.77709641981445}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.560000000000001,0.32,0.4992000000000003,1.0,0.5125,0.95,0.5375,0.675,0.45,0.5375,1.0,0.525,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.680513889275964, 'rho': 260.39852474604237, 'd': 0.7258423469852351, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.38231060606061, 'Stressed Variance': 537.1971340550391, 'Stressed Steady State Time': 13.77709641981445}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.560000000000001,0.32,0.4992000000000003,1.0,0.5125,0.95,0.5375,0.675,0.45,0.5375,1.0,0.525,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.680513889275964, 'rho': 260.39852474604237, 'd': 0.7258423469852351, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.38231060606061, 'Stressed Variance': 537.1971340550391, 'Stressed Steady State Time': 13.77709641981445}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.560000000000001,0.32,0.4992000000000003,1.0,0.5125,0.95,0.5375,0.675,0.45,0.5375,1.0,0.525,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.680513889275964, 'rho': 260.39852474604237, 'd': 0.7258423469852351, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.38231060606061, 'Stressed Variance': 537.1971340550391, 'Stressed Steady State Time': 13.77709641981445}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.560000000000001,0.32,0.4992000000000003,1.0,0.5125,0.95,0.5375,0.675,0.45,0.5375,1.0,0.525,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.680513889275964, 'rho': 260.39852474604237, 'd': 0.7258423469852351, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.38231060606061, 'Stressed Variance': 537.1971340550391, 'Stressed Steady State Time': 13.77709641981445}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.560000000000001,0.32,0.4992000000000003,1.0,0.5125,0.95,0.5375,0.675,0.45,0.5375,1.0,0.525,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.680513889275964, 'rho': 260.39852474604237, 'd': 0.7258423469852351, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.38231060606061, 'Stressed Variance': 537.1971340550391, 'Stressed Steady State Time': 13.77709641981445}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.560000000000001,0.32,0.4992000000000003,1.0,0.5125,0.95,0.5375,0.675,0.45,0.5375,1.0,0.525,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.680513889275964, 'rho': 260.39852474604237, 'd': 0.7258423469852351, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.38231060606061, 'Stressed Variance': 537.1971340550391, 'Stressed Steady State Time': 13.77709641981445}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.560000000000001,0.32,0.4992000000000003,1.0,0.5125,0.95,0.5375,0.675,0.45,0.5375,1.0,0.525,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.680513889275964, 'rho': 260.39852474604237, 'd': 0.7258423469852351, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.38231060606061, 'Stressed Variance': 537.1971340550391, 'Stressed Steady State Time': 13.77709641981445}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.560000000000001,0.32,0.4992000000000003,1.0,0.5125,0.95,0.5375,0.675,0.45,0.5375,1.0,0.525,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.647702059857751, 'rho': 263.24208772265337, 'd': 0.7259383868178384, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.61787878787879, 'Stressed Variance': 551.3240591368227, 'Stressed Steady State Time': 13.775273744422233}, {'Normal Mean': 46.42189393939394, 'Normal Variance': 221.9824600493572, 'Normal Steady State Time': 13.610205889568428})",1.570000000000001,0.32,0.5024000000000003,1.0,0.4625,0.9375,0.4875,0.5625,0.45,0.525,1.0,0.4875,0.95
"[{'sigma_u': 18.0, 'sigma_b': 2.647702059857751, 'rho': 263.24208772265337, 'd': 0.7259383868178384, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.43018939393939, 'Stressed Variance': 547.9114143580694, 'Stressed Steady State Time': 13.775273744422233}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.570000000000001,0.32,0.5024000000000003,1.0,0.5125,0.8875,0.5375,0.625,0.45,0.7125,1.0,0.5125,0.925
"[{'sigma_u': 18.0, 'sigma_b': 2.647702059857751, 'rho': 263.24208772265337, 'd': 0.7259383868178384, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.43018939393939, 'Stressed Variance': 547.9114143580694, 'Stressed Steady State Time': 13.775273744422233}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.570000000000001,0.32,0.5024000000000003,1.0,0.5125,0.8875,0.5375,0.625,0.45,0.7125,1.0,0.5125,0.925
"[{'sigma_u': 18.0, 'sigma_b': 2.647702059857751, 'rho': 263.24208772265337, 'd': 0.7259383868178384, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.43018939393939, 'Stressed Variance': 547.9114143580694, 'Stressed Steady State Time': 13.775273744422233}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.570000000000001,0.32,0.5024000000000003,1.0,0.5125,0.8875,0.5375,0.625,0.45,0.7125,1.0,0.5125,0.925
"[{'sigma_u': 18.0, 'sigma_b': 2.647702059857751, 'rho': 263.24208772265337, 'd': 0.7259383868178384, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.43018939393939, 'Stressed Variance': 547.9114143580694, 'Stressed Steady State Time': 13.775273744422233}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.570000000000001,0.32,0.5024000000000003,1.0,0.5125,0.8875,0.5375,0.625,0.45,0.7125,1.0,0.5125,0.925
"[{'sigma_u': 18.0, 'sigma_b': 2.647702059857751, 'rho': 263.24208772265337, 'd': 0.7259383868178384, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.43018939393939, 'Stressed Variance': 547.9114143580694, 'Stressed Steady State Time': 13.775273744422233}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.570000000000001,0.32,0.5024000000000003,1.0,0.5125,0.8875,0.5375,0.625,0.45,0.7125,1.0,0.5125,0.925
"[{'sigma_u': 18.0, 'sigma_b': 2.647702059857751, 'rho': 263.24208772265337, 'd': 0.7259383868178384, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.43018939393939, 'Stressed Variance': 547.9114143580694, 'Stressed Steady State Time': 13.775273744422233}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.570000000000001,0.32,0.5024000000000003,1.0,0.5125,0.8875,0.5375,0.625,0.45,0.7125,1.0,0.5125,0.925
"[{'sigma_u': 18.0, 'sigma_b': 2.647702059857751, 'rho': 263.24208772265337, 'd': 0.7259383868178384, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.43018939393939, 'Stressed Variance': 547.9114143580694, 'Stressed Steady State Time': 13.775273744422233}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.570000000000001,0.32,0.5024000000000003,1.0,0.5125,0.8875,0.5375,0.625,0.45,0.7125,1.0,0.5125,0.925
"[{'sigma_u': 18.0, 'sigma_b': 2.647702059857751, 'rho': 263.24208772265337, 'd': 0.7259383868178384, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.43018939393939, 'Stressed Variance': 547.9114143580694, 'Stressed Steady State Time': 13.775273744422233}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.570000000000001,0.32,0.5024000000000003,1.0,0.5125,0.8875,0.5375,0.625,0.45,0.7125,1.0,0.5125,0.925
"[{'sigma_u': 18.0, 'sigma_b': 2.647702059857751, 'rho': 263.24208772265337, 'd': 0.7259383868178384, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.43018939393939, 'Stressed Variance': 547.9114143580694, 'Stressed Steady State Time': 13.775273744422233}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.570000000000001,0.32,0.5024000000000003,1.0,0.5125,0.8875,0.5375,0.625,0.45,0.7125,1.0,0.5125,0.925
"[{'sigma_u': 18.0, 'sigma_b': 2.6154940604876775, 'rho': 266.1027121098286, 'd': 0.726032963008594, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.315378787878785, 'Stressed Variance': 539.2529604625804, 'Stressed Steady State Time': 13.773479317745014}, {'Normal Mean': 46.42189393939394, 'Normal Variance': 221.9824600493572, 'Normal Steady State Time': 13.610205889568428})",1.580000000000001,0.32,0.5056000000000003,1.0,0.4625,0.95,0.4625,0.55,0.45,0.5375,1.0,0.525,0.95
"[{'sigma_u': 18.0, 'sigma_b': 2.6154940604876775, 'rho': 266.1027121098286, 'd': 0.726032963008594, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.542840909090906, 'Stressed Variance': 559.6399828383264, 'Stressed Steady State Time': 13.773479317745014}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.580000000000001,0.32,0.5056000000000003,1.0,0.5625,0.9375,0.5625,0.625,0.45,0.6375,1.0,0.5,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.6154940604876775, 'rho': 266.1027121098286, 'd': 0.726032963008594, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.542840909090906, 'Stressed Variance': 559.6399828383264, 'Stressed Steady State Time': 13.773479317745014}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.580000000000001,0.32,0.5056000000000003,1.0,0.5625,0.9375,0.5625,0.625,0.45,0.6375,1.0,0.5,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.6154940604876775, 'rho': 266.1027121098286, 'd': 0.726032963008594, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.542840909090906, 'Stressed Variance': 559.6399828383264, 'Stressed Steady State Time': 13.773479317745014}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.580000000000001,0.32,0.5056000000000003,1.0,0.5625,0.9375,0.5625,0.625,0.45,0.6375,1.0,0.5,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.6154940604876775, 'rho': 266.1027121098286, 'd': 0.726032963008594, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.542840909090906, 'Stressed Variance': 559.6399828383264, 'Stressed Steady State Time': 13.773479317745014}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.580000000000001,0.32,0.5056000000000003,1.0,0.5625,0.9375,0.5625,0.625,0.45,0.6375,1.0,0.5,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.6154940604876775, 'rho': 266.1027121098286, 'd': 0.726032963008594, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.542840909090906, 'Stressed Variance': 559.6399828383264, 'Stressed Steady State Time': 13.773479317745014}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.580000000000001,0.32,0.5056000000000003,1.0,0.5625,0.9375,0.5625,0.625,0.45,0.6375,1.0,0.5,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.6154940604876775, 'rho': 266.1027121098286, 'd': 0.726032963008594, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.542840909090906, 'Stressed Variance': 559.6399828383264, 'Stressed Steady State Time': 13.773479317745014}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.580000000000001,0.32,0.5056000000000003,1.0,0.5625,0.9375,0.5625,0.625,0.45,0.6375,1.0,0.5,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.6154940604876775, 'rho': 266.1027121098286, 'd': 0.726032963008594, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.542840909090906, 'Stressed Variance': 559.6399828383264, 'Stressed Steady State Time': 13.773479317745014}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.580000000000001,0.32,0.5056000000000003,1.0,0.5625,0.9375,0.5625,0.625,0.45,0.6375,1.0,0.5,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.6154940604876775, 'rho': 266.1027121098286, 'd': 0.726032963008594, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.542840909090906, 'Stressed Variance': 559.6399828383264, 'Stressed Steady State Time': 13.773479317745014}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.580000000000001,0.32,0.5056000000000003,1.0,0.5625,0.9375,0.5625,0.625,0.45,0.6375,1.0,0.5,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.6154940604876775, 'rho': 266.1027121098286, 'd': 0.726032963008594, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.542840909090906, 'Stressed Variance': 559.6399828383264, 'Stressed Steady State Time': 13.773479317745014}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.580000000000001,0.32,0.5056000000000003,1.0,0.5625,0.9375,0.5625,0.625,0.45,0.6375,1.0,0.5,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.5838748790862156, 'rho': 268.980413128543, 'd': 0.7261261039280084, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.85931818181818, 'Stressed Variance': 557.9992237775482, 'Stressed Steady State Time': 13.77171257981857}, {'Normal Mean': 46.42189393939394, 'Normal Variance': 221.9824600493572, 'Normal Steady State Time': 13.610205889568428})",1.590000000000001,0.32,0.5088000000000004,1.0,0.5375,0.9875,0.5125,0.6375,0.45,0.75,1.0,0.5375,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 2.5838748790862156, 'rho': 268.980413128543, 'd': 0.7261261039280084, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.66791666666666, 'Stressed Variance': 558.9199858112374, 'Stressed Steady State Time': 13.77171257981857}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.590000000000001,0.32,0.5088000000000004,1.0,0.5875,0.95,0.6,0.6625,0.45,0.575,1.0,0.5125,0.95
"[{'sigma_u': 18.0, 'sigma_b': 2.5838748790862156, 'rho': 268.980413128543, 'd': 0.7261261039280084, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.66791666666666, 'Stressed Variance': 558.9199858112374, 'Stressed Steady State Time': 13.77171257981857}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.590000000000001,0.32,0.5088000000000004,1.0,0.5875,0.95,0.6,0.6625,0.45,0.575,1.0,0.5125,0.95
"[{'sigma_u': 18.0, 'sigma_b': 2.5838748790862156, 'rho': 268.980413128543, 'd': 0.7261261039280084, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.66791666666666, 'Stressed Variance': 558.9199858112374, 'Stressed Steady State Time': 13.77171257981857}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.590000000000001,0.32,0.5088000000000004,1.0,0.5875,0.95,0.6,0.6625,0.45,0.575,1.0,0.5125,0.95
"[{'sigma_u': 18.0, 'sigma_b': 2.5838748790862156, 'rho': 268.980413128543, 'd': 0.7261261039280084, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.66791666666666, 'Stressed Variance': 558.9199858112374, 'Stressed Steady State Time': 13.77171257981857}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.590000000000001,0.32,0.5088000000000004,1.0,0.5875,0.95,0.6,0.6625,0.45,0.575,1.0,0.5125,0.95
"[{'sigma_u': 18.0, 'sigma_b': 2.5838748790862156, 'rho': 268.980413128543, 'd': 0.7261261039280084, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.66791666666666, 'Stressed Variance': 558.9199858112374, 'Stressed Steady State Time': 13.77171257981857}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.590000000000001,0.32,0.5088000000000004,1.0,0.5875,0.95,0.6,0.6625,0.45,0.575,1.0,0.5125,0.95
"[{'sigma_u': 18.0, 'sigma_b': 2.5838748790862156, 'rho': 268.980413128543, 'd': 0.7261261039280084, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.66791666666666, 'Stressed Variance': 558.9199858112374, 'Stressed Steady State Time': 13.77171257981857}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.590000000000001,0.32,0.5088000000000004,1.0,0.5875,0.95,0.6,0.6625,0.45,0.575,1.0,0.5125,0.95
"[{'sigma_u': 18.0, 'sigma_b': 2.5838748790862156, 'rho': 268.980413128543, 'd': 0.7261261039280084, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.66791666666666, 'Stressed Variance': 558.9199858112374, 'Stressed Steady State Time': 13.77171257981857}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.590000000000001,0.32,0.5088000000000004,1.0,0.5875,0.95,0.6,0.6625,0.45,0.575,1.0,0.5125,0.95
