Parameter Sets,Stats,CV Ratio,Normal CV,Stress CV,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,IY006C-Transformer Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 0.6097095945769522, 'sigma_b': 2.0, 'rho': 38.447308914537956, 'd': 1.4732408921832725, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.94713286713287, 'Stressed Variance': 64.1060162550736, 'Stressed Steady State Time': 6.787756199992846}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8000000000000003,0.5,0.40000000000000013,0.975,0.5375,0.9625,0.5375,0.575,0.45,0.5,0.5,0.9875,0.5125,0.6875
"[{'sigma_u': 0.6360210321692226, 'sigma_b': 2.0, 'rho': 38.841723419019395, 'd': 1.4734982363572395, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.945314685314685, 'Stressed Variance': 66.16246406181232, 'Stressed Steady State Time': 6.786570728935415}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8100000000000003,0.5,0.40500000000000014,0.9625,0.55,0.9625,0.5375,0.525,0.45,0.4625,0.5,1.0,0.5,0.725
"[{'sigma_u': 0.6360210321692226, 'sigma_b': 2.0, 'rho': 38.841723419019395, 'd': 1.4734982363572395, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.945314685314685, 'Stressed Variance': 66.16246406181232, 'Stressed Steady State Time': 6.786570728935415}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8100000000000003,0.5,0.40500000000000014,0.9625,0.55,0.9625,0.5375,0.525,0.45,0.4625,0.5,1.0,0.5,0.725
"[{'sigma_u': 0.6360210321692226, 'sigma_b': 2.0, 'rho': 38.841723419019395, 'd': 1.4734982363572395, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.945314685314685, 'Stressed Variance': 66.16246406181232, 'Stressed Steady State Time': 6.786570728935415}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8100000000000003,0.5,0.40500000000000014,0.9625,0.55,0.9625,0.5375,0.525,0.45,0.4625,0.5,1.0,0.5,0.725
"[{'sigma_u': 0.6360210321692226, 'sigma_b': 2.0, 'rho': 38.841723419019395, 'd': 1.4734982363572395, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.945314685314685, 'Stressed Variance': 66.16246406181232, 'Stressed Steady State Time': 6.786570728935415}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8100000000000003,0.5,0.40500000000000014,0.9625,0.55,0.9625,0.5375,0.525,0.45,0.4625,0.5,1.0,0.5,0.725
"[{'sigma_u': 0.6360210321692226, 'sigma_b': 2.0, 'rho': 38.841723419019395, 'd': 1.4734982363572395, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.945314685314685, 'Stressed Variance': 66.16246406181232, 'Stressed Steady State Time': 6.786570728935415}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8100000000000003,0.5,0.40500000000000014,0.9625,0.55,0.9625,0.5375,0.525,0.45,0.4625,0.5,1.0,0.5,0.725
"[{'sigma_u': 0.6360210321692226, 'sigma_b': 2.0, 'rho': 38.841723419019395, 'd': 1.4734982363572395, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.945314685314685, 'Stressed Variance': 66.16246406181232, 'Stressed Steady State Time': 6.786570728935415}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8100000000000003,0.5,0.40500000000000014,0.9625,0.55,0.9625,0.5375,0.525,0.45,0.4625,0.5,1.0,0.5,0.725
"[{'sigma_u': 0.6360210321692226, 'sigma_b': 2.0, 'rho': 38.841723419019395, 'd': 1.4734982363572395, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.945314685314685, 'Stressed Variance': 66.16246406181232, 'Stressed Steady State Time': 6.786570728935415}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8100000000000003,0.5,0.40500000000000014,0.9625,0.55,0.9625,0.5375,0.525,0.45,0.4625,0.5,1.0,0.5,0.725
"[{'sigma_u': 0.6360210321692226, 'sigma_b': 2.0, 'rho': 38.841723419019395, 'd': 1.4734982363572395, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.945314685314685, 'Stressed Variance': 66.16246406181232, 'Stressed Steady State Time': 6.786570728935415}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8100000000000003,0.5,0.40500000000000014,0.9625,0.55,0.9625,0.5375,0.525,0.45,0.4625,0.5,1.0,0.5,0.725
"[{'sigma_u': 0.6360210321692226, 'sigma_b': 2.0, 'rho': 38.841723419019395, 'd': 1.4734982363572395, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.945314685314685, 'Stressed Variance': 66.16246406181232, 'Stressed Steady State Time': 6.786570728935415}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8100000000000003,0.5,0.40500000000000014,0.9625,0.55,0.9625,0.5375,0.525,0.45,0.4625,0.5,1.0,0.5,0.725
"[{'sigma_u': 0.6360210321692226, 'sigma_b': 2.0, 'rho': 38.841723419019395, 'd': 1.4734982363572395, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.945314685314685, 'Stressed Variance': 66.16246406181232, 'Stressed Steady State Time': 6.786570728935415}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8100000000000003,0.5,0.40500000000000014,0.9625,0.55,0.9625,0.5375,0.525,0.45,0.4625,0.5,1.0,0.5,0.725
"[{'sigma_u': 0.6631786970792587, 'sigma_b': 2.0, 'rho': 39.23505828141269, 'd': 1.4732416688539254, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.968636363636364, 'Stressed Variance': 67.3913589796567, 'Stressed Steady State Time': 6.787752621590775}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8200000000000003,0.5,0.41000000000000014,0.9125,0.5375,0.9,0.5375,0.5625,0.45,0.4375,0.5,1.0,0.5,0.7125
"[{'sigma_u': 0.6631786970792587, 'sigma_b': 2.0, 'rho': 39.23505828141269, 'd': 1.4732416688539254, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.968636363636364, 'Stressed Variance': 67.3913589796567, 'Stressed Steady State Time': 6.787752621590775}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8200000000000003,0.5,0.41000000000000014,0.9125,0.5375,0.9,0.5375,0.5625,0.45,0.4375,0.5,1.0,0.5,0.7125
"[{'sigma_u': 0.6631786970792587, 'sigma_b': 2.0, 'rho': 39.23505828141269, 'd': 1.4732416688539254, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.968636363636364, 'Stressed Variance': 67.3913589796567, 'Stressed Steady State Time': 6.787752621590775}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8200000000000003,0.5,0.41000000000000014,0.9125,0.5375,0.9,0.5375,0.5625,0.45,0.4375,0.5,1.0,0.5,0.7125
"[{'sigma_u': 0.6631786970792587, 'sigma_b': 2.0, 'rho': 39.23505828141269, 'd': 1.4732416688539254, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.968636363636364, 'Stressed Variance': 67.3913589796567, 'Stressed Steady State Time': 6.787752621590775}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8200000000000003,0.5,0.41000000000000014,0.9125,0.5375,0.9,0.5375,0.5625,0.45,0.4375,0.5,1.0,0.5,0.7125
"[{'sigma_u': 0.6631786970792587, 'sigma_b': 2.0, 'rho': 39.23505828141269, 'd': 1.4732416688539254, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.968636363636364, 'Stressed Variance': 67.3913589796567, 'Stressed Steady State Time': 6.787752621590775}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8200000000000003,0.5,0.41000000000000014,0.9125,0.5375,0.9,0.5375,0.5625,0.45,0.4375,0.5,1.0,0.5,0.7125
"[{'sigma_u': 0.6631786970792587, 'sigma_b': 2.0, 'rho': 39.23505828141269, 'd': 1.4732416688539254, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.968636363636364, 'Stressed Variance': 67.3913589796567, 'Stressed Steady State Time': 6.787752621590775}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8200000000000003,0.5,0.41000000000000014,0.9125,0.5375,0.9,0.5375,0.5625,0.45,0.4375,0.5,1.0,0.5,0.7125
"[{'sigma_u': 0.6631786970792587, 'sigma_b': 2.0, 'rho': 39.23505828141269, 'd': 1.4732416688539254, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.968636363636364, 'Stressed Variance': 67.3913589796567, 'Stressed Steady State Time': 6.787752621590775}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8200000000000003,0.5,0.41000000000000014,0.9125,0.5375,0.9,0.5375,0.5625,0.45,0.4375,0.5,1.0,0.5,0.7125
"[{'sigma_u': 0.6631786970792587, 'sigma_b': 2.0, 'rho': 39.23505828141269, 'd': 1.4732416688539254, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.968636363636364, 'Stressed Variance': 67.3913589796567, 'Stressed Steady State Time': 6.787752621590775}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8200000000000003,0.5,0.41000000000000014,0.9125,0.5375,0.9,0.5375,0.5625,0.45,0.4375,0.5,1.0,0.5,0.7125
"[{'sigma_u': 0.6631786970792587, 'sigma_b': 2.0, 'rho': 39.23505828141269, 'd': 1.4732416688539254, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.968636363636364, 'Stressed Variance': 67.3913589796567, 'Stressed Steady State Time': 6.787752621590775}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8200000000000003,0.5,0.41000000000000014,0.9125,0.5375,0.9,0.5375,0.5625,0.45,0.4375,0.5,1.0,0.5,0.7125
"[{'sigma_u': 0.6631786970792587, 'sigma_b': 2.0, 'rho': 39.23505828141269, 'd': 1.4732416688539254, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.968636363636364, 'Stressed Variance': 67.3913589796567, 'Stressed Steady State Time': 6.787752621590775}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8200000000000003,0.5,0.41000000000000014,0.9125,0.5375,0.9,0.5375,0.5625,0.45,0.4375,0.5,1.0,0.5,0.7125
"[{'sigma_u': 0.6912240978138945, 'sigma_b': 2.0, 'rho': 39.62796592671365, 'd': 1.4724885214465717, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.916783216783216, 'Stressed Variance': 69.55734070125679, 'Stressed Steady State Time': 6.7912244165924}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8300000000000003,0.5,0.41500000000000015,0.9375,0.525,0.925,0.5375,0.5125,0.45,0.5,0.5,0.9625,0.5,0.65
"[{'sigma_u': 0.6912240978138945, 'sigma_b': 2.0, 'rho': 39.62796592671365, 'd': 1.4724885214465717, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.916783216783216, 'Stressed Variance': 69.55734070125679, 'Stressed Steady State Time': 6.7912244165924}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8300000000000003,0.5,0.41500000000000015,0.9375,0.525,0.925,0.5375,0.5125,0.45,0.5,0.5,0.9625,0.5,0.65
"[{'sigma_u': 0.6912240978138945, 'sigma_b': 2.0, 'rho': 39.62796592671365, 'd': 1.4724885214465717, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.916783216783216, 'Stressed Variance': 69.55734070125679, 'Stressed Steady State Time': 6.7912244165924}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8300000000000003,0.5,0.41500000000000015,0.9375,0.525,0.925,0.5375,0.5125,0.45,0.5,0.5,0.9625,0.5,0.65
"[{'sigma_u': 0.6912240978138945, 'sigma_b': 2.0, 'rho': 39.62796592671365, 'd': 1.4724885214465717, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.916783216783216, 'Stressed Variance': 69.55734070125679, 'Stressed Steady State Time': 6.7912244165924}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8300000000000003,0.5,0.41500000000000015,0.9375,0.525,0.925,0.5375,0.5125,0.45,0.5,0.5,0.9625,0.5,0.65
"[{'sigma_u': 0.6912240978138945, 'sigma_b': 2.0, 'rho': 39.62796592671365, 'd': 1.4724885214465717, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.916783216783216, 'Stressed Variance': 69.55734070125679, 'Stressed Steady State Time': 6.7912244165924}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8300000000000003,0.5,0.41500000000000015,0.9375,0.525,0.925,0.5375,0.5125,0.45,0.5,0.5,0.9625,0.5,0.65
"[{'sigma_u': 0.6912240978138945, 'sigma_b': 2.0, 'rho': 39.62796592671365, 'd': 1.4724885214465717, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.916783216783216, 'Stressed Variance': 69.55734070125679, 'Stressed Steady State Time': 6.7912244165924}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8300000000000003,0.5,0.41500000000000015,0.9375,0.525,0.925,0.5375,0.5125,0.45,0.5,0.5,0.9625,0.5,0.65
"[{'sigma_u': 0.6912240978138945, 'sigma_b': 2.0, 'rho': 39.62796592671365, 'd': 1.4724885214465717, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.916783216783216, 'Stressed Variance': 69.55734070125679, 'Stressed Steady State Time': 6.7912244165924}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8300000000000003,0.5,0.41500000000000015,0.9375,0.525,0.925,0.5375,0.5125,0.45,0.5,0.5,0.9625,0.5,0.65
"[{'sigma_u': 0.6912240978138945, 'sigma_b': 2.0, 'rho': 39.62796592671365, 'd': 1.4724885214465717, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.916783216783216, 'Stressed Variance': 69.55734070125679, 'Stressed Steady State Time': 6.7912244165924}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8300000000000003,0.5,0.41500000000000015,0.9375,0.525,0.925,0.5375,0.5125,0.45,0.5,0.5,0.9625,0.5,0.65
"[{'sigma_u': 0.6912240978138945, 'sigma_b': 2.0, 'rho': 39.62796592671365, 'd': 1.4724885214465717, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.916783216783216, 'Stressed Variance': 69.55734070125679, 'Stressed Steady State Time': 6.7912244165924}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8300000000000003,0.5,0.41500000000000015,0.9375,0.525,0.925,0.5375,0.5125,0.45,0.5,0.5,0.9625,0.5,0.65
"[{'sigma_u': 0.6912240978138945, 'sigma_b': 2.0, 'rho': 39.62796592671365, 'd': 1.4724885214465717, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.916783216783216, 'Stressed Variance': 69.55734070125679, 'Stressed Steady State Time': 6.7912244165924}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8300000000000003,0.5,0.41500000000000015,0.9375,0.525,0.925,0.5375,0.5125,0.45,0.5,0.5,0.9625,0.5,0.65
"[{'sigma_u': 0.7202013093893463, 'sigma_b': 2.0, 'rho': 40.021119748313836, 'd': 1.4712558078026259, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.92269230769231, 'Stressed Variance': 71.53042212210866, 'Stressed Steady State Time': 6.796914545360649}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8400000000000003,0.5,0.42000000000000015,0.9125,0.45,0.975,0.425,0.4625,0.45,0.425,0.5,0.9875,0.4875,0.6375
"[{'sigma_u': 0.7202013093893463, 'sigma_b': 2.0, 'rho': 40.021119748313836, 'd': 1.4712558078026259, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.92269230769231, 'Stressed Variance': 71.53042212210866, 'Stressed Steady State Time': 6.796914545360649}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8400000000000003,0.5,0.42000000000000015,0.9125,0.45,0.975,0.425,0.4625,0.45,0.425,0.5,0.9875,0.4875,0.6375
"[{'sigma_u': 0.7202013093893463, 'sigma_b': 2.0, 'rho': 40.021119748313836, 'd': 1.4712558078026259, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.92269230769231, 'Stressed Variance': 71.53042212210866, 'Stressed Steady State Time': 6.796914545360649}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8400000000000003,0.5,0.42000000000000015,0.9125,0.45,0.975,0.425,0.4625,0.45,0.425,0.5,0.9875,0.4875,0.6375
"[{'sigma_u': 0.7202013093893463, 'sigma_b': 2.0, 'rho': 40.021119748313836, 'd': 1.4712558078026259, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.92269230769231, 'Stressed Variance': 71.53042212210866, 'Stressed Steady State Time': 6.796914545360649}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8400000000000003,0.5,0.42000000000000015,0.9125,0.45,0.975,0.425,0.4625,0.45,0.425,0.5,0.9875,0.4875,0.6375
"[{'sigma_u': 0.7202013093893463, 'sigma_b': 2.0, 'rho': 40.021119748313836, 'd': 1.4712558078026259, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.92269230769231, 'Stressed Variance': 71.53042212210866, 'Stressed Steady State Time': 6.796914545360649}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8400000000000003,0.5,0.42000000000000015,0.9125,0.45,0.975,0.425,0.4625,0.45,0.425,0.5,0.9875,0.4875,0.6375
"[{'sigma_u': 0.7202013093893463, 'sigma_b': 2.0, 'rho': 40.021119748313836, 'd': 1.4712558078026259, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.92269230769231, 'Stressed Variance': 71.53042212210866, 'Stressed Steady State Time': 6.796914545360649}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8400000000000003,0.5,0.42000000000000015,0.9125,0.45,0.975,0.425,0.4625,0.45,0.425,0.5,0.9875,0.4875,0.6375
"[{'sigma_u': 0.7202013093893463, 'sigma_b': 2.0, 'rho': 40.021119748313836, 'd': 1.4712558078026259, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.92269230769231, 'Stressed Variance': 71.53042212210866, 'Stressed Steady State Time': 6.796914545360649}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8400000000000003,0.5,0.42000000000000015,0.9125,0.45,0.975,0.425,0.4625,0.45,0.425,0.5,0.9875,0.4875,0.6375
"[{'sigma_u': 0.7202013093893463, 'sigma_b': 2.0, 'rho': 40.021119748313836, 'd': 1.4712558078026259, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.92269230769231, 'Stressed Variance': 71.53042212210866, 'Stressed Steady State Time': 6.796914545360649}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8400000000000003,0.5,0.42000000000000015,0.9125,0.45,0.975,0.425,0.4625,0.45,0.425,0.5,0.9875,0.4875,0.6375
"[{'sigma_u': 0.7202013093893463, 'sigma_b': 2.0, 'rho': 40.021119748313836, 'd': 1.4712558078026259, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.92269230769231, 'Stressed Variance': 71.53042212210866, 'Stressed Steady State Time': 6.796914545360649}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8400000000000003,0.5,0.42000000000000015,0.9125,0.45,0.975,0.425,0.4625,0.45,0.425,0.5,0.9875,0.4875,0.6375
"[{'sigma_u': 0.7202013093893463, 'sigma_b': 2.0, 'rho': 40.021119748313836, 'd': 1.4712558078026259, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.92269230769231, 'Stressed Variance': 71.53042212210866, 'Stressed Steady State Time': 6.796914545360649}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8400000000000003,0.5,0.42000000000000015,0.9125,0.45,0.975,0.425,0.4625,0.45,0.425,0.5,0.9875,0.4875,0.6375
"[{'sigma_u': 0.7501571994727927, 'sigma_b': 2.0, 'rho': 40.41521600784599, 'd': 1.4695602133432089, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.945664335664336, 'Stressed Variance': 73.25606861460219, 'Stressed Steady State Time': 6.804756898834568}, {'Normal Mean': 19.867671232876713, 'Normal Variance': 101.22365348095327, 'Normal Steady State Time': 3.3491978583729334})",0.8500000000000003,0.5,0.42500000000000016,0.9375,0.5875,0.925,0.6,0.6125,0.45,0.5125,0.5,0.975,0.5,0.65
