sigma_b,mu_target,cv_target,autocorr_target,variance,fano_factor,success,biologically_appropriate,error_type,error_message,rho,sigma_u,d
0.01,10.0,0.4,100.0,16.0,1.6,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.5,0.1,25.0,2.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.5,1.0,25.0,2.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.5,10.0,25.0,2.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.5,100.0,25.0,2.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.6,0.1,36.0,3.6,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.6,1.0,36.0,3.6,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.6,10.0,36.0,3.6,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.6,100.0,36.0,3.6,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.7000000000000001,0.1,49.000000000000014,4.900000000000001,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.7000000000000001,1.0,49.000000000000014,4.900000000000001,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.7000000000000001,10.0,49.000000000000014,4.900000000000001,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.7000000000000001,100.0,49.000000000000014,4.900000000000001,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.8,0.1,64.0,6.4,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.8,1.0,64.0,6.4,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.8,10.0,64.0,6.4,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.8,100.0,64.0,6.4,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.9,0.1,81.0,8.1,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.9,1.0,81.0,8.1,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.9,10.0,81.0,8.1,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.9,100.0,81.0,8.1,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,1.0,0.1,100.0,10.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,1.0,1.0,100.0,10.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,1.0,10.0,100.0,10.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,1.0,100.0,100.0,10.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,1.2,0.1,144.0,14.4,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,1.2,1.0,144.0,14.4,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,1.2,10.0,144.0,14.4,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,1.2,100.0,144.0,14.4,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,1.4,0.1,196.0,19.6,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,1.4,1.0,196.0,19.6,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,1.4,10.0,196.0,19.6,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,1.4,100.0,196.0,19.6,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,1.5999999999999999,0.1,255.99999999999994,25.599999999999994,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,1.5999999999999999,1.0,255.99999999999994,25.599999999999994,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,1.5999999999999999,10.0,255.99999999999994,25.599999999999994,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,1.5999999999999999,100.0,255.99999999999994,25.599999999999994,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,1.7999999999999998,0.1,324.0,32.4,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,1.7999999999999998,1.0,324.0,32.4,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,1.7999999999999998,10.0,324.0,32.4,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,1.7999999999999998,100.0,324.0,32.4,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,2.0,0.1,400.0,40.0,False,True,value_error,Could not find a valid solution for parameter d,,,
