Parameter Sets,Stats,T_ac Ratio,Normal T_ac,Stress T_ac,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,IY006C-Transformer Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 0.9831681758785531, 'sigma_b': 0.016831824121447014, 'rho': 102.43095876626445, 'd': 0.017240998825449546, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 580.0127997943447, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1799999999999995,50,58.99999999999997,0.5125,0.475,0.4875,0.425,0.475,0.45,0.475,0.575,0.5125,0.4875,0.4125
"[{'sigma_u': 0.9831681758785531, 'sigma_b': 0.016831824121447014, 'rho': 102.43095876626445, 'd': 0.017240998825449546, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 580.0127997943447, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1799999999999995,50,58.99999999999997,0.5125,0.475,0.4875,0.425,0.475,0.45,0.475,0.575,0.5125,0.4875,0.4125
"[{'sigma_u': 0.9831681758785531, 'sigma_b': 0.016831824121447014, 'rho': 102.43095876626445, 'd': 0.017240998825449546, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 580.0127997943447, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1799999999999995,50,58.99999999999997,0.5125,0.475,0.4875,0.425,0.475,0.45,0.475,0.575,0.5125,0.4875,0.4125
"[{'sigma_u': 0.9831681758785531, 'sigma_b': 0.016831824121447014, 'rho': 102.43095876626445, 'd': 0.017240998825449546, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 580.0127997943447, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1799999999999995,50,58.99999999999997,0.5125,0.475,0.4875,0.425,0.475,0.45,0.475,0.575,0.5125,0.4875,0.4125
"[{'sigma_u': 0.9831681758785531, 'sigma_b': 0.016831824121447014, 'rho': 102.43095876626445, 'd': 0.017240998825449546, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 580.0127997943447, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1799999999999995,50,58.99999999999997,0.5125,0.475,0.4875,0.425,0.475,0.45,0.475,0.575,0.5125,0.4875,0.4125
"[{'sigma_u': 0.9831681758785531, 'sigma_b': 0.016831824121447014, 'rho': 102.43095876626445, 'd': 0.017240998825449546, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 580.0127997943447, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1799999999999995,50,58.99999999999997,0.5125,0.475,0.4875,0.425,0.475,0.45,0.475,0.575,0.5125,0.4875,0.4125
"[{'sigma_u': 0.9831681758785531, 'sigma_b': 0.016831824121447014, 'rho': 102.43095876626445, 'd': 0.017240998825449546, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 580.0127997943447, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1799999999999995,50,58.99999999999997,0.5125,0.475,0.4875,0.425,0.475,0.45,0.475,0.575,0.5125,0.4875,0.4125
"[{'sigma_u': 0.9831681758785531, 'sigma_b': 0.016831824121447014, 'rho': 102.43095876626445, 'd': 0.017240998825449546, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 580.0127997943447, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1799999999999995,50,58.99999999999997,0.5125,0.475,0.4875,0.425,0.475,0.45,0.475,0.575,0.5125,0.4875,0.4125
"[{'sigma_u': 0.9831681758785531, 'sigma_b': 0.016831824121447014, 'rho': 102.43095876626445, 'd': 0.017240998825449546, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 580.0127997943447, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1799999999999995,50,58.99999999999997,0.5125,0.475,0.4875,0.425,0.475,0.45,0.475,0.575,0.5125,0.4875,0.4125
"[{'sigma_u': 0.9833072765002239, 'sigma_b': 0.01669272349977619, 'rho': 102.40163058966542, 'd': 0.017093621053595083, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 585.0135538073619, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1899999999999995,50,59.49999999999997,0.5625,0.5625,0.6125,0.4875,0.5625,0.45,0.4125,0.6,0.4875,0.5125,0.5125
"[{'sigma_u': 0.9833072765002239, 'sigma_b': 0.01669272349977619, 'rho': 102.40163058966542, 'd': 0.017093621053595083, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 585.0135538073619, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1899999999999995,50,59.49999999999997,0.5625,0.5625,0.6125,0.4875,0.5625,0.45,0.4125,0.6,0.4875,0.5125,0.5125
"[{'sigma_u': 0.9833072765002239, 'sigma_b': 0.01669272349977619, 'rho': 102.40163058966542, 'd': 0.017093621053595083, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 585.0135538073619, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1899999999999995,50,59.49999999999997,0.5625,0.5625,0.6125,0.4875,0.5625,0.45,0.4125,0.6,0.4875,0.5125,0.5125
"[{'sigma_u': 0.9833072765002239, 'sigma_b': 0.01669272349977619, 'rho': 102.40163058966542, 'd': 0.017093621053595083, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 585.0135538073619, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1899999999999995,50,59.49999999999997,0.5625,0.5625,0.6125,0.4875,0.5625,0.45,0.4125,0.6,0.4875,0.5125,0.5125
"[{'sigma_u': 0.9833072765002239, 'sigma_b': 0.01669272349977619, 'rho': 102.40163058966542, 'd': 0.017093621053595083, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 585.0135538073619, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1899999999999995,50,59.49999999999997,0.5625,0.5625,0.6125,0.4875,0.5625,0.45,0.4125,0.6,0.4875,0.5125,0.5125
"[{'sigma_u': 0.9833072765002239, 'sigma_b': 0.01669272349977619, 'rho': 102.40163058966542, 'd': 0.017093621053595083, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 585.0135538073619, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1899999999999995,50,59.49999999999997,0.5625,0.5625,0.6125,0.4875,0.5625,0.45,0.4125,0.6,0.4875,0.5125,0.5125
"[{'sigma_u': 0.9833072765002239, 'sigma_b': 0.01669272349977619, 'rho': 102.40163058966542, 'd': 0.017093621053595083, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 585.0135538073619, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1899999999999995,50,59.49999999999997,0.5625,0.5625,0.6125,0.4875,0.5625,0.45,0.4125,0.6,0.4875,0.5125,0.5125
"[{'sigma_u': 0.9833072765002239, 'sigma_b': 0.01669272349977619, 'rho': 102.40163058966542, 'd': 0.017093621053595083, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 585.0135538073619, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1899999999999995,50,59.49999999999997,0.5625,0.5625,0.6125,0.4875,0.5625,0.45,0.4125,0.6,0.4875,0.5125,0.5125
"[{'sigma_u': 0.9833072765002239, 'sigma_b': 0.01669272349977619, 'rho': 102.40163058966542, 'd': 0.017093621053595083, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 585.0135538073619, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1899999999999995,50,59.49999999999997,0.5625,0.5625,0.6125,0.4875,0.5625,0.45,0.4125,0.6,0.4875,0.5125,0.5125
"[{'sigma_u': 0.9833072765002239, 'sigma_b': 0.01669272349977619, 'rho': 102.40163058966542, 'd': 0.017093621053595083, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 585.0135538073619, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1899999999999995,50,59.49999999999997,0.5625,0.5625,0.6125,0.4875,0.5625,0.45,0.4125,0.6,0.4875,0.5125,0.5125
"[{'sigma_u': 0.9834440965201318, 'sigma_b': 0.01655590347986824, 'rho': 102.37279963763137, 'd': 0.016948741897645152, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 590.0142948893093, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1999999999999995,50,59.99999999999998,0.45,0.4375,0.4625,0.4625,0.5375,0.45,0.5125,0.4125,0.4375,0.475,0.5625
"[{'sigma_u': 0.9834440965201318, 'sigma_b': 0.01655590347986824, 'rho': 102.37279963763137, 'd': 0.016948741897645152, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 590.0142948893093, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1999999999999995,50,59.99999999999998,0.45,0.4375,0.4625,0.4625,0.5375,0.45,0.5125,0.4125,0.4375,0.475,0.5625
"[{'sigma_u': 0.9834440965201318, 'sigma_b': 0.01655590347986824, 'rho': 102.37279963763137, 'd': 0.016948741897645152, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 590.0142948893093, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1999999999999995,50,59.99999999999998,0.45,0.4375,0.4625,0.4625,0.5375,0.45,0.5125,0.4125,0.4375,0.475,0.525
"[{'sigma_u': 0.9834440965201318, 'sigma_b': 0.01655590347986824, 'rho': 102.37279963763137, 'd': 0.016948741897645152, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 590.0142948893093, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1999999999999995,50,59.99999999999998,0.45,0.4375,0.4625,0.4625,0.5375,0.45,0.5125,0.4125,0.4375,0.475,0.5625
"[{'sigma_u': 0.9834440965201318, 'sigma_b': 0.01655590347986824, 'rho': 102.37279963763137, 'd': 0.016948741897645152, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 590.0142948893093, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1999999999999995,50,59.99999999999998,0.45,0.4375,0.4625,0.4625,0.5375,0.45,0.5125,0.4125,0.4375,0.475,0.5625
"[{'sigma_u': 0.9834440965201318, 'sigma_b': 0.01655590347986824, 'rho': 102.37279963763137, 'd': 0.016948741897645152, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 590.0142948893093, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1999999999999995,50,59.99999999999998,0.45,0.4375,0.4625,0.4625,0.5375,0.45,0.5125,0.4125,0.4375,0.475,0.5625
"[{'sigma_u': 0.9834440965201318, 'sigma_b': 0.01655590347986824, 'rho': 102.37279963763137, 'd': 0.016948741897645152, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 590.0142948893093, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1999999999999995,50,59.99999999999998,0.45,0.4375,0.4625,0.4625,0.5375,0.45,0.5125,0.4125,0.4375,0.475,0.5625
"[{'sigma_u': 0.9834440965201318, 'sigma_b': 0.01655590347986824, 'rho': 102.37279963763137, 'd': 0.016948741897645152, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 590.0142948893093, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1999999999999995,50,59.99999999999998,0.45,0.4375,0.4625,0.4625,0.5375,0.45,0.5125,0.4125,0.4375,0.475,0.5625
"[{'sigma_u': 0.9834440965201318, 'sigma_b': 0.01655590347986824, 'rho': 102.37279963763137, 'd': 0.016948741897645152, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 590.0142948893093, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1999999999999995,50,59.99999999999998,0.45,0.4375,0.4625,0.4625,0.5375,0.45,0.5125,0.4125,0.4375,0.475,0.5625
"[{'sigma_u': 0.9834440965201318, 'sigma_b': 0.01655590347986824, 'rho': 102.37279963763137, 'd': 0.016948741897645152, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 590.0142948893093, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.1999999999999995,50,59.99999999999998,0.45,0.4375,0.4625,0.4625,0.5375,0.45,0.5125,0.4125,0.4375,0.475,0.575
"[{'sigma_u': 0.9835786915778768, 'sigma_b': 0.016421308422123145, 'rho': 102.34445336981796, 'd': 0.01680629834079381, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 595.015023369368, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.2099999999999995,50,60.49999999999998,0.5,0.5125,0.5,0.5125,0.5375,0.45,0.5625,0.65,0.525,0.55,0.5375
"[{'sigma_u': 0.9835786915778768, 'sigma_b': 0.016421308422123145, 'rho': 102.34445336981796, 'd': 0.01680629834079381, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 595.015023369368, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.2099999999999995,50,60.49999999999998,0.5,0.5125,0.5,0.5125,0.5375,0.45,0.5625,0.65,0.525,0.55,0.5375
"[{'sigma_u': 0.9835786915778768, 'sigma_b': 0.016421308422123145, 'rho': 102.34445336981796, 'd': 0.01680629834079381, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 595.015023369368, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.2099999999999995,50,60.49999999999998,0.5,0.5125,0.5,0.5125,0.5375,0.45,0.5625,0.65,0.525,0.55,0.5375
"[{'sigma_u': 0.9835786915778768, 'sigma_b': 0.016421308422123145, 'rho': 102.34445336981796, 'd': 0.01680629834079381, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 595.015023369368, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.2099999999999995,50,60.49999999999998,0.5,0.5125,0.5,0.5125,0.5375,0.45,0.5625,0.65,0.525,0.55,0.5375
"[{'sigma_u': 0.9835786915778768, 'sigma_b': 0.016421308422123145, 'rho': 102.34445336981796, 'd': 0.01680629834079381, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 595.015023369368, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.2099999999999995,50,60.49999999999998,0.5,0.5125,0.5,0.5125,0.5375,0.45,0.5625,0.65,0.525,0.55,0.5375
"[{'sigma_u': 0.9835786915778768, 'sigma_b': 0.016421308422123145, 'rho': 102.34445336981796, 'd': 0.01680629834079381, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 595.015023369368, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.2099999999999995,50,60.49999999999998,0.5,0.5125,0.5,0.5125,0.5375,0.45,0.5625,0.65,0.525,0.55,0.525
"[{'sigma_u': 0.9835786915778768, 'sigma_b': 0.016421308422123145, 'rho': 102.34445336981796, 'd': 0.01680629834079381, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 595.015023369368, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.2099999999999995,50,60.49999999999998,0.5,0.5125,0.5,0.5125,0.5375,0.45,0.5625,0.65,0.525,0.55,0.5375
"[{'sigma_u': 0.9835786915778768, 'sigma_b': 0.016421308422123145, 'rho': 102.34445336981796, 'd': 0.01680629834079381, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 595.015023369368, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.2099999999999995,50,60.49999999999998,0.5,0.5125,0.5,0.5125,0.5375,0.45,0.5625,0.65,0.525,0.55,0.5375
"[{'sigma_u': 0.9835786915778768, 'sigma_b': 0.016421308422123145, 'rho': 102.34445336981796, 'd': 0.01680629834079381, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 595.015023369368, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.2099999999999995,50,60.49999999999998,0.5,0.5125,0.5,0.5125,0.5375,0.45,0.5625,0.65,0.525,0.55,0.5375
"[{'sigma_u': 0.9835786915778768, 'sigma_b': 0.016421308422123145, 'rho': 102.34445336981796, 'd': 0.01680629834079381, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 595.015023369368, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.2099999999999995,50,60.49999999999998,0.5,0.5125,0.5,0.5125,0.5375,0.45,0.5625,0.65,0.525,0.55,0.5375
"[{'sigma_u': 0.9837111155174457, 'sigma_b': 0.016288884482554354, 'rho': 102.31657966413017, 'd': 0.016666229467990862, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 600.0157395652079, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.2199999999999995,50,60.99999999999998,0.45,0.475,0.5,0.475,0.525,0.45,0.5125,0.4625,0.475,0.525,0.5625
"[{'sigma_u': 0.9837111155174457, 'sigma_b': 0.016288884482554354, 'rho': 102.31657966413017, 'd': 0.016666229467990862, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 600.0157395652079, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.2199999999999995,50,60.99999999999998,0.45,0.475,0.5,0.475,0.525,0.45,0.5125,0.4625,0.475,0.525,0.5625
"[{'sigma_u': 0.9837111155174457, 'sigma_b': 0.016288884482554354, 'rho': 102.31657966413017, 'd': 0.016666229467990862, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 600.0157395652079, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.2199999999999995,50,60.99999999999998,0.45,0.475,0.5,0.475,0.525,0.45,0.5125,0.4625,0.475,0.525,0.5625
"[{'sigma_u': 0.9837111155174457, 'sigma_b': 0.016288884482554354, 'rho': 102.31657966413017, 'd': 0.016666229467990862, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 600.0157395652079, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.2199999999999995,50,60.99999999999998,0.45,0.475,0.5,0.475,0.525,0.45,0.5125,0.4625,0.475,0.525,0.5625
"[{'sigma_u': 0.9837111155174457, 'sigma_b': 0.016288884482554354, 'rho': 102.31657966413017, 'd': 0.016666229467990862, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 600.0157395652079, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.2199999999999995,50,60.99999999999998,0.45,0.475,0.5,0.475,0.525,0.45,0.5125,0.4625,0.475,0.525,0.5625
